id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,144.8,138.7,151.4,
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,135.1,132.7,137.4,1.5
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,135.1,132.7,137.4,1.5
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,130.4,126.9,133.8,
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,130.4,126.9,133.8,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,118,112.1,124.1,
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,118,112.1,124.1,
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,138.5,138.3,138.6,2.3
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,124.6,122.4,126.8,
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,69.7,60.3,79.2,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,83.5,79.10000000000001,87.80000000000001,2.6
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,84.10000000000001,79.80000000000001,88.2,
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,88.7,86.10000000000001,91.2,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,79.5,73.7,84.90000000000001,2.5
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,84.5,79.7,89.10000000000001,
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,110.8,110,111.6,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,118.3,117.6,118.9,8.4
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,116.9,116.2,117.5,
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,109,108.5,109.5,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,89.40000000000001,85.2,93.40000000000001,8.4
