id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_15_t,wkp_15_f,wkp_15_m,wkp_7_t,wkp_7_f,wkp_7_m,lfp_15_u_t,lfp_15_u_f,lfp_15_u_m,lfp_15_w_t,lfp_15_w_f,lfp_15_w_m,emp_7_t,emp_7_f,emp_7_m
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,73.7,69.8,77.30000000000001,86,85.80000000000001,86.2,50.6,24,73.40000000000001,50.6,24,73.40000000000001,31,8.800000000000001,50.6
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,70.40000000000001,80.7,62.5,80.90000000000001,80.7,81.10000000000001,60.3,38.2,82.30000000000001,54.40000000000001,26.3,82.30000000000001,40.90000000000001,24,56.2
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,70.5,79,63.7,81.2,81,81.40000000000001,57.7,33.8,81.10000000000001,52.3,22.9,81.10000000000001,40.2,22.4,56.2
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,71,72,70,83,83.10000000000001,82.90000000000001,45.3,12.3,75.8,42.6,6.7,75.8,35.7,13.3,55.90000000000001
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,54,53.1,54.90000000000001,80.5,80.40000000000001,80.5,57.6,25.3,87.7,49.6,8.9,87.5,45.6,32.7,57.5
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,55,54,56,80.90000000000001,80.80000000000001,81,56.7,24.9,86.60000000000001,49.1,9.600000000000001,86.40000000000001,43.6,29.5,56.8
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,62.2,60.3,64.2,82.90000000000001,82.80000000000001,83,50.6,22.3,79.10000000000001,46.3,13.7,79.10000000000001,34.7,14.1,53.1
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,66.8,68.10000000000001,65.8,81.60000000000001,81.5,81.60000000000001,50.7,9,85.5,49.5,6.300000000000001,85.5,46.2,33.2,58.3
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,65,66.3,64,82,81.90000000000001,82.10000000000001,48.7,8.4,83.5,47.7,6.300000000000001,83.5,44.3,30.3,57.3
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,58.2,60.1,56.40000000000001,84.2,84.10000000000001,84.30000000000001,39.8,6.300000000000001,74,39.8,6.300000000000001,74,34.4,15.2,51.90000000000001
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,65.2,67.90000000000001,62.6,81.5,81.30000000000001,81.7,42.8,2,85.7,42.1,1.5,85,42,24.7,57.6
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,66.5,68.90000000000001,64.40000000000001,83.80000000000001,83.7,83.90000000000001,41.3,6,74.40000000000001,40.8,5.7,73.8,38.40000000000001,19.3,55.6
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,67.90000000000001,70.10000000000001,66.2,86.90000000000001,86.90000000000001,86.90000000000001,39.8,10.6,64.10000000000001,39.5,10.6,63.6,34,12.5,53.1
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,56.6,58.6,54.7,82.80000000000001,82.7,82.90000000000001,44.90000000000001,6,84.40000000000001,44.90000000000001,6,84.40000000000001,37.3,18.3,54.5
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,58.6,60,57.40000000000001,83.2,83.10000000000001,83.30000000000001,44.3,7.600000000000001,79,43.40000000000001,6,78.90000000000001,36.2,16.9,53.8
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,68.40000000000001,67.60000000000001,69,85.40000000000001,85.30000000000001,85.5,41.90000000000001,15.4,61.1,37.5,6,60.40000000000001,30.1,8.5,49.2
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,66.3,74,59.8,82.40000000000001,82.30000000000001,82.5,48.40000000000001,10.5,87.7,48.2,10.1,87.7,38.90000000000001,21.3,55.2
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,66.5,73.60000000000001,60.40000000000001,82.7,82.60000000000001,82.80000000000001,47.7,10.4,86.2,47.3,9.800000000000001,86,38.1,20.1,54.7
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,68.5,68.40000000000001,68.60000000000001,85.5,85.40000000000001,85.60000000000001,39.8,9,69.10000000000001,37.2,6.4,66.5,31.4,9.9,50.5
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),61,61.40000000000001,60.7,81.40000000000001,81.2,81.60000000000001,41.5,2.2,78.90000000000001,41.1,1.7,78.5,39,22,54.5
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),61.2,61.6,60.8,81.60000000000001,81.40000000000001,81.80000000000001,41.40000000000001,2.2,78.5,40.90000000000001,1.7,78.2,38.5,21.3,54.3
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),70.2,73.90000000000001,67.3,85.30000000000001,85.10000000000001,85.5,34.5,0,63.5,34.5,0,63.5,28.6,6.4,48.3
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,63.3,68.3,59.3,82.5,82.30000000000001,82.60000000000001,46.6,9.1,81.30000000000001,45,5.600000000000001,81.30000000000001,38.8,20.1,56
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,63.8,67.7,60.6,82.90000000000001,82.7,83,45.90000000000001,8.5,79,44.6,5.600000000000001,79,37.7,18.5,55.3
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,70.10000000000001,59.90000000000001,77,85.30000000000001,85.10000000000001,85.40000000000001,37.7,0,57.8,39.7,6.300000000000001,57.5,31.2,9.300000000000001,50.90000000000001
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,57.8,54.2,61.1,81.80000000000001,81.7,82,39.8,6,66.5,40.7,9.200000000000001,65.60000000000001,41,25,55.8
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,57.8,54.3,60.90000000000001,82.10000000000001,81.90000000000001,82.2,39.8,6.100000000000001,66.8,40.7,9.1,65.90000000000001,40.2,23.9,55.3
