id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_18_317_0,2011,Total,3,India,18,Assam,317,Karimganj,410,380,28.3,.2,14.1,1.5,6.2,16.8,4.5,2.7,1.4,6.600000000000001,17.6
3_18_318_0,2011,Total,3,India,18,Assam,318,Hailakandi,216,365,25.9,.1,16.9,1.5,6.4,7.800000000000001,7.800000000000001,2.2,1.2,7.600000000000001,22.5
3_18_319_0,2011,Total,3,India,18,Assam,319,Bongaigaon,323,523,28.2,.1,5.9,1.7,4.4,17.8,7.2,3.8,6.4,5.100000000000001,19.4
3_18_320_0,2011,Total,3,India,18,Assam,320,Chirang,138,319,54.6,0,6.2,3.1,4.100000000000001,9.4,5.7,2.2,3,7.2,4.5
3_18_321_0,2011,Total,3,India,18,Assam,321,Kamrup,710,438,22.8,1.1,14.9,2.2,6.2,15.7,9.200000000000001,3.2,3.8,8.1,12.9
3_18_322_0,2011,Total,3,India,18,Assam,322,Kamrup Metropolitan,916,852,4.600000000000001,.6000000000000001,14.1,2.6,7.100000000000001,19.8,12.7,4.9,7,11.8,14.8
3_18_323_0,2011,Total,3,India,18,Assam,323,Nalbari,288,413,31.3,1.8,6.5,1.6,7,11.9,3.8,2.3,4.4,7.7,21.5
3_18_324_0,2011,Total,3,India,18,Assam,324,Baksa,261,292,43.40000000000001,0,15.3,1.9,4.7,8.5,2.9,4.2,2.8,4.4,11.7
3_18_325_0,2011,Total,3,India,18,Assam,325,Darrang,308,401,29.6,.7000000000000001,9.800000000000001,2,3.2,7.800000000000001,5.2,2.9,2.7,6.9,29.2
3_18_326_0,2011,Total,3,India,18,Assam,326,Udalguri,263,332,29.7,.1,12.5,1.6,5.600000000000001,7.5,6.7,4.5,4.3,6.800000000000001,20.8
3_19_327_0,2011,Total,3,India,19,West Bengal,327,Darjiling,1071,616,25,.1,3.2,2.7,9.800000000000001,10.3,12.7,6.800000000000001,9.800000000000001,8.6,11.2
3_19_328_0,2011,Total,3,India,19,West Bengal,328,Jalpaiguri,1752,480,33,0,7.2,1.6,9,14.7,6.600000000000001,4.9,9,5,8.9
3_19_329_0,2011,Total,3,India,19,West Bengal,329,Koch Bihar,1135,437,47.3,0,3.8,.9,5.5,12.8,3.1,6.100000000000001,7.300000000000001,4.7,8.5
3_19_330_0,2011,Total,3,India,19,West Bengal,330,Uttar Dinajpur,844,316,40.1,0,5.100000000000001,1.2,5.600000000000001,14.4,4.4,6.100000000000001,8.5,5.2,9.600000000000001
3_19_331_0,2011,Total,3,India,19,West Bengal,331,Dakshin Dinajpur,656,406,43.8,0,5.2,.8,3.8,13.9,2.5,6.100000000000001,7.7,5,11.2
3_19_332_0,2011,Total,3,India,19,West Bengal,332,Maldah,1591,447,35.3,0,10.7,1.7,8.800000000000001,15.4,4.4,5.800000000000001,6.4,3.3,8.300000000000001
3_19_333_0,2011,Total,3,India,19,West Bengal,333,Murshidabad,2781,439,35.7,0,11.3,1.8,10.8,15.5,3.4,5,6.300000000000001,3.8,6.5
3_19_334_0,2011,Total,3,India,19,West Bengal,334,Birbhum,1312,410,36.3,.1,5.7,2.5,7.2,12.9,3.8,8.4,7.300000000000001,5,10.7
3_19_335_0,2011,Total,3,India,19,West Bengal,335,Barddhaman,4914,680,18.1,13,15.6,2.7,5.800000000000001,16.9,6,4.9,6.300000000000001,3.3,7.4
3_19_336_0,2011,Total,3,India,19,West Bengal,336,Nadia,2362,481,36.1,0,8.700000000000001,1.3,5.9,15.5,4.2,4.800000000000001,7.9,5.600000000000001,10
3_19_337_0,2011,Total,3,India,19,West Bengal,337,North Twenty Four Parganas,5611,584,17.5,0,10.5,2.6,7.600000000000001,14.5,11.3,4.3,16.9,3,11.8
3_19_338_0,2011,Total,3,India,19,West Bengal,338,Hugli,3118,587,23.4,0,13.3,2.3,6.2,17.1,7.300000000000001,5.2,11,4.3,9.800000000000001
3_19_339_0,2011,Total,3,India,19,West Bengal,339,Bankura,1459,436,37.7,0,6.2,2.2,5.800000000000001,13.3,3.9,7.2,6.7,5.800000000000001,11.1
3_19_340_0,2011,Total,3,India,19,West Bengal,340,Puruliya,1048,394,32.7,.1,7.800000000000001,3.1,6.4,13.2,6.9,6.800000000000001,6.4,6.4,10.2
3_19_341_0,2011,Total,3,India,19,West Bengal,341,Haora,2612,582,10.9,0,18.5,1.6,5.800000000000001,21.1,11,5.4,12.4,3.5,9.9
3_19_342_0,2011,Total,3,India,19,West Bengal,342,Kolkata,4732,1021,.2,0,3.9,2.1,5.600000000000001,6,18.9,13.5,23,16,10.9
3_19_343_0,2011,Total,3,India,19,West Bengal,343,South Twenty Four Parganas,3678,498,23.2,0,16.3,1.3,7.300000000000001,17.2,8,4,9.600000000000001,3,10
