id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_ser_t,lp_inf_ser_6,lp_inf_ser_7,lp_inf_ser_8,lp_inf_ser_9,lp_inf_ser_11,kl_inf_ser_t,kl_inf_ser_6,kl_inf_ser_7,kl_inf_ser_8,kl_inf_ser_9,kl_inf_ser_11
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,456.1,728,158.2,143.7,260.9,139.5,4129.3,4529,1384.9,1447.3,8746.5,2985.1
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,357.8,453.7000000000001,293.5,95.60000000000001,47.1,65.10000000000001,1460.6,1132.5,2847.9,681,901.8000000000001,747.7000000000001
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,418.8,527.7000000000001,284.2,100.3,92.7,82.60000000000001,1787.8,1578.6,2826.4,752.5,2869.9,1639.2
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,526.8000000000001,631.6,88.30000000000001,171.4,148.5,109.1,2323.6,2150.7,2371.5,1821.3,5283.6,2762.6
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,201.9,284.2,215.3,222.9,176.8,51.1,1003.6,908.8000000000001,4502.5,1244.6,2558.3,462.6
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,309.8,440.8,212.6,206.6,205.9,65.60000000000001,1182.4,1138.5,3753.3,1264.8,2556.2,619.1
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,567.2000000000001,770.1,207.6,190.4,251.1,119.4,1612.7,1620.5,2369.1,1285,2553,1223.5
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),322.4,481.7000000000001,223.2,,100.2,87.7,2314.6,1617.2,3559,,1901.3,3255.1
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),332.7000000000001,495.3,222.3,185.7,110.7,91.90000000000001,2358.5,1703.3,3494.2,4821,2269.1,3246.9
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),464.9,658.3000000000001,209.1,185.7,150.3,183,2919.4,2729.9,2542.2,4821,3765.9,3069.2
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,255.4,398.3,278.8,,64.8,89.40000000000001,1249.7,967.8000000000001,3981.6,,1135.4,747.5
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,356,567.7000000000001,252.8,225.9,100.8,89.80000000000001,1481.2,1416.2,3600.4,3055,2311.8,811.9000000000001
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,587.6,849.3000000000001,78.90000000000001,225.9,131.1,91.7,2014.1,2161.9,1059.4,3055,3298.7,1094.9
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,290.5,366.1,256.1,,162.8,130.6,1114.8,870.1,3834.6,,3000.2,667.3000000000001
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,317.4,394.4,254.5,,193.4,134.7,1110.9,915.8000000000001,3805.7,,3154.7,707.9000000000001
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,427.4,482.5,150,,252.8,164.4,1095.1,1057.1,1928.4,,3455.6,998.3000000000001
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,232,269.4,306.9,,,93.10000000000001,1245.3,974.8000000000001,3434.2,,,799.2000000000001
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,342.3,438,302.5,,279.9,107.6,1411.9,1217.9,3378.9,,2410.6,951.5
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,884.6,1243.4,162.3,,279.9,183.5,2236.8,2378.7,1596,,2410.6,1780.7
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,233.4,287.1,145.7,,,83.5,861.3000000000001,740.9000000000001,1385.8,,,1081.5
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,282.7,347.6,175,,140.8,108.3,1624.9,1667,1603.7,,2873.2,1472.4
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,425.5,526.3000000000001,387.3,,140.8,170.1,3841.6,4384.2,3182.7,,2873.2,2446.1
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,108.7,123.9,95.7,,42.90000000000001,67.7,508.8,519.4,876.9000000000001,,492.8,243.3
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,121,144.1,93.10000000000001,,79,67.60000000000001,520.8000000000001,531.2000000000001,793.1,,860.9000000000001,287.3
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,236.3,413.5,77.80000000000001,,114.3,66.40000000000001,632.2000000000001,688.2000000000001,329.9,,1219.7,606.4
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,270.1,359.1,,,125.9,115,945,899.3000000000001,,,2221.2,1016.7
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,308.3,413.6,235.3,,210.8,115.1,1167.4,1108.3,283.8,,3665.5,1090.9
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,431.9,587.2000000000001,235.3,,217.1,115.5,1881.8,1773.3,283.8,,3772.3,1438.7
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,409.7000000000001,555.2000000000001,577.8000000000001,,186.5,93.40000000000001,718.7000000000001,747.7000000000001,1254,,2550.1,601
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,409.7000000000001,555.2000000000001,577.8000000000001,,186.5,93.40000000000001,718.7000000000001,747.7000000000001,1254,,2550.1,601
3_10_240_0,,Urban,3,India,10,Bihar,240,Arwal,,,,,,,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,165.6,302.4,348.1,2,18.3,,4895.7,3959.4,2400.7,,6548.400000000001,
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,165.6,302.4,348.1,2,18.3,,4895.7,3959.4,2400.7,,6548.400000000001,
