id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cr_s,fo_s,n_oper_t,n_oper_gov,n_oper_pri,n_oper_fo,c_oper_t,s_pr_t,s_pr_nat,s_pr_int
3_19_328_0,2011,Total,3,India,19,West Bengal,328,Jalpaiguri,39.6,10.6,0,0,0,0,0,2.6,2.6,0
3_19_329_0,2011,Total,3,India,19,West Bengal,329,Koch Bihar,89.7,.1,0,0,0,0,0,.4,.4,0
3_19_330_0,2011,Total,3,India,19,West Bengal,330,Uttar Dinajpur,73.8,0,0,0,0,0,0,1.3,1.3,0
3_19_331_0,2011,Total,3,India,19,West Bengal,331,Dakshin Dinajpur,98.80000000000001,0,0,0,0,0,0,0,0,0
3_19_332_0,2011,Total,3,India,19,West Bengal,332,Maldah,94,0,0,0,0,0,0,0,0,0
3_19_333_0,2011,Total,3,India,19,West Bengal,333,Murshidabad,93.5,0,0,0,0,0,0,0,0,0
3_19_334_0,2011,Total,3,India,19,West Bengal,334,Birbhum,88.40000000000001,0,0,0,0,0,0,.8,.8,0
3_19_335_0,2011,Total,3,India,19,West Bengal,335,Barddhaman,83.40000000000001,0,2,2,0,0,3.1,0,0,0
3_19_336_0,2011,Total,3,India,19,West Bengal,336,Nadia,96.90000000000001,0,0,0,0,0,0,1.2,1.2,0
3_19_337_0,2011,Total,3,India,19,West Bengal,337,North Twenty Four Parganas,75.8,.1,0,0,0,0,0,1.6,1.6,0
3_19_338_0,2011,Total,3,India,19,West Bengal,338,Hugli,92.5,0,0,0,0,0,0,0,0,0
3_19_339_0,2011,Total,3,India,19,West Bengal,339,Bankura,53.90000000000001,.1,0,0,0,0,0,2.2,2.2,0
3_19_340_0,2011,Total,3,India,19,West Bengal,340,Puruliya,74.7,.7000000000000001,0,0,0,0,0,0,0,0
3_19_341_0,2011,Total,3,India,19,West Bengal,341,Haora,83.5,.1,0,0,0,0,0,0,0,0
3_19_342_0,2011,Total,3,India,19,West Bengal,342,Kolkata,13.6,0,0,0,0,0,0,0,0,0
3_19_343_0,2011,Total,3,India,19,West Bengal,343,South Twenty Four Parganas,56.90000000000001,0,0,0,0,0,0,24,23.7,12.2
3_19_344_0,2011,Total,3,India,19,West Bengal,344,Paschim Medinipur,69.8,.2,0,0,0,0,0,0,0,0
3_19_345_0,2011,Total,3,India,19,West Bengal,345,Purba Medinipur,95.2,0,3,1,2,1,3543,0,0,0
3_1_1_0,2011,Total,3,India,1,Jammu and Kashmir,1,Kupwara,15.1,28.7,0,0,0,0,0,.4,.4,0
3_1_10_0,2011,Total,3,India,1,Jammu and Kashmir,10,Srinagar,28.9,7.100000000000001,0,0,0,0,0,24.9,24.9,0
3_1_11_0,2011,Total,3,India,1,Jammu and Kashmir,11,Ganderbal,13.6,12.1,0,0,0,0,0,6.2,6.2,0
3_1_12_0,2011,Total,3,India,1,Jammu and Kashmir,12,Pulwama,66.90000000000001,3.3,0,0,0,0,0,.4,.4,0
3_1_13_0,2011,Total,3,India,1,Jammu and Kashmir,13,Shupiyan,20.3,8.700000000000001,0,0,0,0,0,0,0,0
3_1_14_0,2011,Total,3,India,1,Jammu and Kashmir,14,Anantnag,24,18.8,0,0,0,0,0,19.3,19.3,0
3_1_15_0,2011,Total,3,India,1,Jammu and Kashmir,15,Kulgam,17.2,8.6,0,0,0,0,0,10.1,10.1,0
3_1_16_0,2011,Total,3,India,1,Jammu and Kashmir,16,Doda,10.2,30.5,0,0,0,0,0,0,0,0
3_1_17_0,2011,Total,3,India,1,Jammu and Kashmir,17,Ramban,22,17.9,0,0,0,0,0,0,0,0
3_1_18_0,2011,Total,3,India,1,Jammu and Kashmir,18,Kishtwar,2.3,11.6,0,0,0,0,0,14.3,14.3,0
3_1_19_0,2011,Total,3,India,1,Jammu and Kashmir,19,Udhampur,40.5,6.800000000000001,0,0,0,0,0,0,0,0
3_1_2_0,2011,Total,3,India,1,Jammu and Kashmir,2,Badgam,44.3,9.4,0,0,0,0,0,0,0,0
3_1_20_0,2011,Total,3,India,1,Jammu and Kashmir,20,Reasi,23.9,5,0,0,0,0,0,0,0,0
3_1_21_0,2011,Total,3,India,1,Jammu and Kashmir,21,Jammu,71.60000000000001,0,0,0,0,0,0,0,0,0
3_1_22_0,2011,Total,3,India,1,Jammu and Kashmir,22,Samba,85.80000000000001,0,0,0,0,0,0,0,0,0
3_1_3_0,2011,Total,3,India,1,Jammu and Kashmir,3,Leh(Ladakh),.2,0,0,0,0,0,0,26.7,26.7,0
3_1_3_1,2011,Total,3,India,1,India/China  2,3,Leh(Ladakh),.2,0,0,0,0,0,0,26.7,26.7,0
3_1_4_0,2011,Total,3,India,1,Jammu and Kashmir,4,Kargil,.2,0,0,0,0,0,0,16.6,16.6,0
3_1_5_0,2011,Total,3,India,1,Jammu and Kashmir,5,Punch,27.5,6.7,0,0,0,0,0,1,1,0
3_1_6_0,2011,Total,3,India,1,Jammu and Kashmir,6,Rajouri,48.5,1.4,0,0,0,0,0,0,0,0
3_1_7_0,2011,Total,3,India,1,Jammu and Kashmir,7,Kathua,46.3,.9,0,0,0,0,0,0,0,0
3_1_8_0,2011,Total,3,India,1,Jammu and Kashmir,8,Baramula,33.1,18.3,0,0,0,0,0,17.6,17.5,.1
3_1_9_0,2011,Total,3,India,1,Jammu and Kashmir,9,Bandipore,8.6,13.2,0,0,0,0,0,1.8,0,1.8
3_20_346_0,2011,Total,3,India,20,Jharkhand,346,Garhwa,47.1,5.600000000000001,0,0,0,0,0,1.1,1.1,0
3_20_347_0,2011,Total,3,India,20,Jharkhand,347,Chatra,36.3,3.2,2,2,0,0,20,6.9,6.9,0
3_20_348_0,2011,Total,3,India,20,Jharkhand,348,Kodarma,39.3,12.6,0,0,0,0,0,2.7,2.7,0
3_20_349_0,2011,Total,3,India,20,Jharkhand,349,Giridih,72,1,0,0,0,0,0,0,0,0
3_20_350_0,2011,Total,3,India,20,Jharkhand,350,Deoghar,89.2,0,0,0,0,0,0,0,0,0
3_20_351_0,2011,Total,3,India,20,Jharkhand,351,Godda,72.7,2.3,0,0,0,0,0,0,0,0
3_20_352_0,2011,Total,3,India,20,Jharkhand,352,Sahibganj,59.40000000000001,1.5,0,0,0,0,0,0,0,0
3_20_353_0,2011,Total,3,India,20,Jharkhand,353,Pakur,68.60000000000001,.9,0,0,0,0,0,0,0,0
3_20_354_0,2011,Total,3,India,20,Jharkhand,354,Dhanbad,22.9,1,1,0,1,1,0,1.9,1.9,0
3_20_355_0,2011,Total,3,India,20,Jharkhand,355,Bokaro,58.2,1.6,1,1,0,0,4.600000000000001,0,0,0
3_20_356_0,2011,Total,3,India,20,Jharkhand,356,Lohardaga,60.8,5.300000000000001,2,0,2,2,.9,2.1,2.1,0
3_20_357_0,2011,Total,3,India,20,Jharkhand,357,Purbi Singhbhum,36.9,3.5,3,2,1,1,4.100000000000001,17.5,17.5,0
3_20_358_0,2011,Total,3,India,20,Jharkhand,358,Palamu,65.7,2.5,0,0,0,0,0,5.5,5.5,0
3_20_359_0,2011,Total,3,India,20,Jharkhand,359,Latehar,32.7,12.3,1,1,0,0,.2,27.5,27.5,0
3_20_360_0,2011,Total,3,India,20,Jharkhand,360,Hazaribagh,49,2.9,0,0,0,0,0,13,13,0
3_20_361_0,2011,Total,3,India,20,Jharkhand,361,Ramgarh,78.60000000000001,1.7,0,0,0,0,0,0,0,0
3_20_362_0,2011,Total,3,India,20,Jharkhand,362,Dumka,75.8,.5,0,0,0,0,0,0,0,0
3_20_363_0,2011,Total,3,India,20,Jharkhand,363,Jamtara,51.1,0,0,0,0,0,0,0,0,0
3_20_364_0,2011,Total,3,India,20,Jharkhand,364,Ranchi,59,1.7,1,0,1,1,.1,0,0,0
3_20_365_0,2011,Total,3,India,20,Jharkhand,365,Khunti,49.3,1.9,0,0,0,0,0,0,0,0
3_20_366_0,2011,Total,3,India,20,Jharkhand,366,Gumla,70.3,3.1,0,0,0,0,0,1.7,1.7,0
3_20_367_0,2011,Total,3,India,20,Jharkhand,367,Simdega,53.1,.7000000000000001,0,0,0,0,0,0,0,0
3_20_368_0,2011,Total,3,India,20,Jharkhand,368,Pashchimi Singhbhum,9.4,6.300000000000001,0,0,0,0,0,0,0,0
3_20_369_0,2011,Total,3,India,20,Jharkhand,369,Saraikela-Kharsawan,46.90000000000001,3.5,5,4,1,1,9.5,.4,.4,0
3_21_370_0,2011,Total,3,India,21,Odisha,370,Bargarh,72.7,2.1,0,0,0,0,0,4.3,4.3,0
3_21_371_0,2011,Total,3,India,21,Odisha,371,Jharsuguda,53.2,1,0,0,0,0,0,4.4,4.4,0
3_21_372_0,2011,Total,3,India,21,Odisha,372,Sambalpur,25,12.6,1,0,1,1,.1,0,0,0
3_21_373_0,2011,Total,3,India,21,Odisha,373,Debagarh,6.800000000000001,8.5,0,0,0,0,0,0,0,0
3_21_374_0,2011,Total,3,India,21,Odisha,374,Sundargarh,30.8,7.7,2,1,1,1,2,0,0,0
3_21_375_0,2011,Total,3,India,21,Odisha,375,Kendujhar,30.9,1.6,2,1,1,1,5,1.7,1.7,0
3_21_376_0,2011,Total,3,India,21,Odisha,376,Mayurbhanj,19.5,8.200000000000001,0,0,0,0,0,28.4,28.4,0
3_21_377_0,2011,Total,3,India,21,Odisha,377,Baleshwar,77.90000000000001,.8,0,0,0,0,0,0,0,0
3_21_378_0,2011,Total,3,India,21,Odisha,378,Bhadrak,93.2,.1,0,0,0,0,0,.1,.1,0
3_21_379_0,2011,Total,3,India,21,Odisha,379,Kendrapara,86.7,.2,0,0,0,0,0,1.6,1.6,0
3_21_380_0,2011,Total,3,India,21,Odisha,380,Jagatsinghapur,86.80000000000001,0,0,0,0,0,0,0,0,0
3_21_381_0,2011,Total,3,India,21,Odisha,381,Cuttack,36,1.2,4,0,4,1,2.4,8,8,0
3_21_382_0,2011,Total,3,India,21,Odisha,382,Jajapur,55.7,.1,1,0,1,1,3,0,0,0
3_21_383_0,2011,Total,3,India,21,Odisha,383,Dhenkanal,16.2,1.5,2,0,2,0,.3,0,0,0
3_21_384_0,2011,Total,3,India,21,Odisha,384,Anugul,8,6.5,1,1,0,0,.3,5.100000000000001,5.100000000000001,0
3_21_385_0,2011,Total,3,India,21,Odisha,385,Nayagarh,6.800000000000001,4.600000000000001,0,0,0,0,0,6.600000000000001,6.600000000000001,0
3_21_386_0,2011,Total,3,India,21,Odisha,386,Khordha,33.7,1.6,0,0,0,0,0,3,1.6,2.2
3_21_387_0,2011,Total,3,India,21,Odisha,387,Puri,62.90000000000001,.3,0,0,0,0,0,34.4,27.6,32.3
3_21_388_0,2011,Total,3,India,21,Odisha,388,Ganjam,24.7,.7000000000000001,1,1,0,0,.2,1.1,.9,.6000000000000001
3_21_389_0,2011,Total,3,India,21,Odisha,389,Gajapati,2.7,1.3,0,0,0,0,0,3.5,3.5,0
3_21_390_0,2011,Total,3,India,21,Odisha,390,Kandhamal,.6000000000000001,9.9,0,0,0,0,0,4.9,4.9,0
3_21_391_0,2011,Total,3,India,21,Odisha,391,Baudh,27.4,14.8,0,0,0,0,0,3.2,3.2,0
