id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,50.2,,,76.40000000000001,
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,60.90000000000001,,0,32.8,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,55.6,,,92.7,
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,54.8,,,81.30000000000001,
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,51.40000000000001,,0,37.6,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,58.3,,,80,
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,61.7,,,67.40000000000001,
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,74.8,,0,18,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,42.8,,,94.10000000000001,
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,42.90000000000001,,,93.40000000000001,
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,45.1,,0,73.8,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,43.1,,,86.7,
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,43.90000000000001,,,65.3,
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,45.6,,0,16.9,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,44.1,,,82.60000000000001,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,44.1,,,82.60000000000001,
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,48.2,,,68.7,
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,48.2,,,68.7,
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,64,,0,15.8,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,64,,0,15.8,
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,39.90000000000001,,,82.90000000000001,
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,39.90000000000001,,,82.90000000000001,
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,42.2,,,72,
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,42.2,,,72,
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,49.7,29.9,25.8,37,61.6
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,49.7,29.9,25.8,37,61.6
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,41.2,,,86.90000000000001,
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,41.2,,,86.90000000000001,
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,40.90000000000001,,,85.7,
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,40.90000000000001,,,85.7,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,31.7,,0,45.8,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,31.7,,0,45.8,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,34.6,,,95.30000000000001,
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,36.1,,,92.90000000000001,
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,45.8,65.10000000000001,22.6,77.30000000000001,71.8
