id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t,bank_slm,e_fin1,e_fin2,e_fin3,e_fin4,e_fin5,e_pr_fin1,e_pr_fin2,e_pr_fin3,e_pr_fin4,e_pr_fin5
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,52.3,,94,5,.8,0,.2,93.60000000000001,.3,.8,0,.2
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,53,,94,5,.8,0,.2,93.60000000000001,.3,.8,0,.2
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,61.90000000000001,,,,,,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,63.40000000000001,,97.40000000000001,1.5,1.1,0,0,73.60000000000001,1.2,1.1,0,0
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,63.90000000000001,,97.80000000000001,1.3,.9,0,0,76.40000000000001,1,.9,0,0
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,68.40000000000001,68.40000000000001,100,0,0,0,0,93.7,0,0,0,0
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,69.7,,93.10000000000001,3.3,2.4,.5,.7000000000000001,74.60000000000001,2.6,2.4,.5,.7000000000000001
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,69.8,,92.7,3,3,.6000000000000001,.6000000000000001,75.5,2.3,3,.6000000000000001,.6000000000000001
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,73.60000000000001,70.60000000000001,88.90000000000001,.3,9.200000000000001,1.3,.3,84.2,0,9.200000000000001,1.3,.3
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,63.3,,73.10000000000001,23.5,2.2,.3,.9,70.8,4.100000000000001,2,.3,.9
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,64.3,,75.40000000000001,19,4.5,.3,.8,72.40000000000001,3.4,4.4,.3,.8
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,69.3,78.2,82.2,5.2,11.9,.1,.7000000000000001,77.60000000000001,1.2,11.9,.1,.7000000000000001
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,58.7,,88.90000000000001,6.100000000000001,3.7,.5,.7000000000000001,81.2,2,3.7,.5,.7000000000000001
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,68.5,,92.10000000000001,4.100000000000001,3,.4,.4,85.2,1.5,3,.4,.4
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,79.5,81.80000000000001,95.30000000000001,2,2.4,.3,.1,89.30000000000001,1,2.3,.3,.1
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,74.2,,68.40000000000001,24.7,2.6,.9,3.3,67.3,2.5,2.2,.8,3
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,77.2,,68.40000000000001,24.7,2.6,.9,3.3,67.3,2.5,2.2,.8,3
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,92,,,,,,,,,,,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,49.2,,70.40000000000001,22,4.2,.4,3.1,69.60000000000001,1.5,4.2,.4,3
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,57.3,,72.90000000000001,20.5,3.5,.6000000000000001,2.5,72.2,1.6,3.5,.6000000000000001,2.5
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,83.7,,81.60000000000001,15.2,1.1,1.3,.7000000000000001,81.40000000000001,1.9,1.1,1.3,.7000000000000001
