id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,1.2,,40.40000000000001,,87.10000000000001,87.10000000000001,70.10000000000001,3.103
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,2.6,,34.1,,74.90000000000001,74.90000000000001,74.5,3.992
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,9.600000000000001,,3,,16.5,16.5,82.7,6.184
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,.9,,38.6,,79.5,83.60000000000001,52.3,2.86
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,2.3,,31,,74.3,77.90000000000001,56.8,3.543
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,6.800000000000001,,6.5,,36.1,36.1,77.10000000000001,7.301
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,.4,,68.10000000000001,,93.80000000000001,91,31.6,1.376
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,1.4,,56.40000000000001,,89.80000000000001,90.40000000000001,38.90000000000001,1.654
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,4.600000000000001,.5,19.9,29.1,72,87.5,47.40000000000001,2.329
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,7.2,,20.2,,56.6,100,68.2,1.69
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,7.2,,20.2,,56.6,100,68.2,1.69
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,12.7,,9.9,,48,78.10000000000001,76.5,1.97
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,12.7,,9.9,,48,78.10000000000001,76.5,1.97
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,16.4,,2.8,,37.7,52.2,80,1.804
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,16.4,,2.8,,37.7,52.2,80,1.804
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,.4,,54.3,,85,80.2,71.3,3.546
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,1.2,,46.90000000000001,,71.60000000000001,70.5,76,4.818000000000001
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,5.300000000000001,,9.800000000000001,,26.9,38.5,82.10000000000001,7.592000000000001
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,1.7,,37.2,,92.10000000000001,92.2,38,.85
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,1.7,,37.2,,92.10000000000001,92.2,38,.85
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,3,,29.3,,66.40000000000001,74.60000000000001,54.7,1.985
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,3,,29.3,,66.40000000000001,74.60000000000001,54.7,1.985
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,7.100000000000001,1.4,5.5,8.800000000000001,20.4,43,78.2,3.216
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,7.100000000000001,1.4,5.5,8.800000000000001,20.4,43,78.2,3.216
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,3,,21.7,,81,80.80000000000001,52.6,1.053
