id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,91.5,95.90000000000001,89.90000000000001,71.7,7.300000000000001,64.40000000000001
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,75.40000000000001,95,94.7,42.40000000000001,4.9,37.5
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,76.7,95.10000000000001,95.30000000000001,43.5,4.7,38.7
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,89.10000000000001,95.80000000000001,100,53.40000000000001,3.1,50.3
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,94.30000000000001,95.90000000000001,96.10000000000001,51,6.9,44
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,94.2,96.10000000000001,97.30000000000001,50.6,6.800000000000001,43.7
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,93.7,103.4,137,41.3,5,36.3
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,90.80000000000001,94.60000000000001,96.40000000000001,48,7.300000000000001,40.7
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,91.5,94.10000000000001,93,46.5,6.800000000000001,39.7
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,95.90000000000001,91,72,38,4,34
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,84.90000000000001,96.80000000000001,95.80000000000001,42,6.800000000000001,35.2
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,87.30000000000001,95.40000000000001,96.80000000000001,39,5.7,33.3
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,90.5,93.40000000000001,98.2,35.1,4.2,30.9
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,86.5,99.7,99.40000000000001,51.5,6.4,45.1
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,71.40000000000001,99.2,98,42.8,5.100000000000001,37.7
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,34,95.30000000000001,87.5,18.5,1.5,17
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,79.90000000000001,95.5,95.2,50.90000000000001,4.2,46.6
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,81.90000000000001,96.2,96.80000000000001,49.5,3.9,45.6
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,90.90000000000001,99.80000000000001,105.5,44,2.6,41.40000000000001
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,104.5,98.60000000000001,94.7,78,3.6,74.40000000000001
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,102.9,99.5,96.5,77.5,3.1,74.40000000000001
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,98,102.3,101,75.90000000000001,1.4,74.5
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,99.30000000000001,100,87.7,63.3,2.9,60.40000000000001
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,99.30000000000001,100,87.7,63.3,2.9,60.40000000000001
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,98,95.90000000000001,89.2,54,2.1,51.90000000000001
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,98,95.90000000000001,89.2,54,2.1,51.90000000000001
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,96.90000000000001,92.2,90.40000000000001,47.2,1.6,45.6
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,96.90000000000001,92.2,90.40000000000001,47.2,1.6,45.6
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,101,96.2,98.5,63,3.1,59.8
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,99.80000000000001,96.80000000000001,100.5,61.8,2.8,58.90000000000001
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,93.80000000000001,100.3,112.5,55.7,1.4,54.3
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,95.40000000000001,96.30000000000001,96.7,59.2,6.300000000000001,52.90000000000001
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,95.40000000000001,96.30000000000001,96.7,59.2,6.300000000000001,52.90000000000001
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,93,95.80000000000001,96,55.6,5.2,50.40000000000001
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,93,95.80000000000001,96,55.6,5.2,50.40000000000001
