id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,road_lng_t,road_lng_h,road_lng_r,road_lng_o,road_int_t,road_int_h,road_int_r,road_int_o,station_nmb_t,station_nmb_r,station_nmb_m,station_den_t,station_den_r,station_den_m
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,2.4,1.7,.7000000000000001,0,2105,1477,628,0,0,0,0,0,0,0
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,307,137,164,6.100000000000001,333,148,178,6.7,0,0,0,0,0,0
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,401,177,190,34.5,420,185,199,36.1,0,0,0,0,0,0
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,93.7,39.8,25.6,28.3,2934,1247,800,887,0,0,0,0,0,0
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,458,117,293,47.2,211,54,135,21.7,0,0,0,0,0,0
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,458,117,293,47.2,211,54,135,21.7,0,0,0,0,0,0
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,336,197,137,1.3,68,39.90000000000001,27.8,.3,0,0,0,0,0,0
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,359,215,143,1.3,72.40000000000001,43.3,28.9,.3,0,0,0,0,0,0
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,23.7,17.6,6,0,899,671,228,0,0,0,0,0,0,0
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,135,134,.9,0,20.9,20.7,.1,0,0,0,0,0,0,0
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,139,138,.9,0,21.3,21.2,.1,0,0,0,0,0,0,0
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,3.1,3.1,0,0,505,505,0,0,0,0,0,0,0,0
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,196,164,16.2,15.2,58.8,49.40000000000001,4.9,4.600000000000001,1,1,0,.3,.3,0
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,196,164,16.2,15.2,58.8,49.40000000000001,4.9,4.600000000000001,1,1,0,.3,.3,0
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,238,181,41.5,15.7,70.90000000000001,53.8,12.4,4.7,1,1,0,.3,.3,0
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,238,181,41.5,15.7,70.90000000000001,53.8,12.4,4.7,1,1,0,.3,.3,0
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,42.1,16.2,25.3,.5,1657,637,998,21.3,0,0,0,0,0,0
