state,district,spatialId,distt_id55,finalId,spatialState,spatialDistrict,nss2010State,nss2010District,state.y,district.y,note
KERALA,Wayanad,3_32_590_0,1203,3_32_590_0,Kerala,Wayanad,Kerala,Wayanad,Kerala,Wayanad,NA
MADHYA PRADESH,Balaghat,3_23_457_0,1338,3_23_457_0,Madhya Pradesh,Balaghat,Madhya Pradesh,Balaghat,Madhya Pradesh,Balaghat,NA
MADHYA PRADESH,Bastar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,Betul,3_23_447_0,1331,3_23_447_0,Madhya Pradesh,Betul,Madhya Pradesh,Betul,Madhya Pradesh,Betul,NA
MADHYA PRADESH,Bhind,3_23_420_0,1302,3_23_420_0,Madhya Pradesh,Bhind,Madhya Pradesh,Bhind,Madhya Pradesh,Bhind,NA
MADHYA PRADESH,Bhopal,3_23_444_0,1328,3_23_444_0,Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,NA
MADHYA PRADESH,Bilaspur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,Rajnandgaon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,Chhatarpur,3_23_425_0,1308,3_23_425_0,Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,NA
MADHYA PRADESH,Chhindwara,3_23_455_0,1336,3_23_455_0,Madhya Pradesh,Chhindwara,Madhya Pradesh,Chhindwara,Madhya Pradesh,Chhindwara,NA
MADHYA PRADESH,Damoh,3_23_428_0,1311,3_23_428_0,Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,NA
MADHYA PRADESH,Datia,3_23_422_0,1304,3_23_422_0,Madhya Pradesh,Datia,Madhya Pradesh,Datia,Madhya Pradesh,Datia,NA
MADHYA PRADESH,Dewas,3_23_437_0,1320,3_23_437_0,Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,NA
MADHYA PRADESH,Dhar,3_23_438_0,1322,3_23_438_0,Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,NA
MADHYA PRADESH,Durg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,E. Nimar (Khandwa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,Guna,3_23_458_0,1306,3_23_458_0,Madhya Pradesh,Guna,Madhya Pradesh,Guna,Madhya Pradesh,Guna,Ashoknagar district split from Guna
MADHYA PRADESH,Gwalior,3_23_421_0,1303,3_23_421_0,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,NA
MADHYA PRADESH,Hoshangabad,3_23_449_0,1332,3_23_449_0,Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,Harda district split from Hoshangabad;
MADHYA PRADESH,Indore,3_23_439_0,1323,3_23_439_0,Madhya Pradesh,Indore,Madhya Pradesh,Indore,Madhya Pradesh,Indore,NA
MADHYA PRADESH,Jabalpur,3_23_451_0,1333,3_23_451_0,Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,Katni district split from Jabalpur;
MADHYA PRADESH,Jhabua,3_23_464_0,1321,3_23_464_0,Madhya Pradesh,Jhabua,Madhya Pradesh,Jhabua,Madhya Pradesh,Jhabua,2008-05-17: Alirajpur district split from Jhabua.
MADHYA PRADESH,Mandla,3_23_454_0,1335,3_23_454_0,Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,Dindori district split from Mandla
MADHYA PRADESH,Mandsaur,3_23_433_0,1316,3_23_433_0,Madhya Pradesh,Mandsaur,Madhya Pradesh,Mandsaur,Madhya Pradesh,Mandsaur,Neemuch district split from Mandsaur;
MADHYA PRADESH,Morena,3_23_419_0,1301,3_23_419_0,Madhya Pradesh,Morena,Madhya Pradesh,Morena,Madhya Pradesh,Morena,Sheopur district split from Morena
MADHYA PRADESH,Narsimhapur,3_23_452_0,1334,3_23_452_0,Madhya Pradesh,Narsimhapur,Madhya Pradesh,Narsimhapur,Madhya Pradesh,Narsimhapur,NA
MADHYA PRADESH,Panna,3_23_426_0,1309,3_23_426_0,Madhya Pradesh,Panna,Madhya Pradesh,Panna,Madhya Pradesh,Panna,NA
MADHYA PRADESH,Raigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,Raipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADHYA PRADESH,Raisen,3_23_446_0,1330,3_23_446_0,Madhya Pradesh,Raisen,Madhya Pradesh,Raisen,Madhya Pradesh,Raisen,NA
