distt_id55,spatialId,state,district
2122,3_8_126_0,Rajasthan,Chittaurgarh
2103,3_8_102_0,Rajasthan,Churu
2128,3_8_109_0,Rajasthan,Dausa
2107,3_8_106_0,Rajasthan,Dholpur
2123,3_8_124_0,Rajasthan,Dungarpur
2101,3_8_99_0,Rajasthan,Ganganagar
2109,3_8_110_0,Rajasthan,Jaipur
2113,3_8_114_0,Rajasthan,Jaisalmer
2118,3_8_116_0,Rajasthan,Jalor
2127,3_8_129_0,Rajasthan,Jhalawar
2104,3_8_103_0,Rajasthan,Jhunjhunu
2114,3_8_113_0,Rajasthan,Jodhpur
2126,3_8_127_0,Rajasthan,Kota
2115,3_8_112_0,Rajasthan,Nagaur
2116,3_8_118_0,Rajasthan,Pali
2130,3_8_123_0,Rajasthan,Rajsamand
2108,3_8_108_0,Rajasthan,Sawai Madhopur
2110,3_8_111_0,Rajasthan,Sikar
2119,3_8_117_0,Rajasthan,Sirohi
2112,3_8_120_0,Rajasthan,Tonk
2121,3_8_130_0,Rajasthan,Udaipur
2202,3_11_244_0,Sikkim,East (Gangtok)
2201,3_11_241_0,Sikkim,North (Mongam)
2203,3_11_243_0,Sikkim,South (Nimachai)
2204,3_11_242_0,Sikkim,West (Gyalshing)
2302,3_33_604_0,Tamil Nadu,Chengai Anna (Chen
2310,3_33_632_0,Tamil Nadu,Coimbatore
2304,3_33_630_0,Tamil Nadu,Dharmapuri
2311,3_33_612_0,Tamil Nadu,Dindigul
