spatialId,finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id55,NSS2000_state_id,NSS2000_dist_code
3_6_84_0,3_6_84_0,Haryana,Mahendragarh,Haryana,Mahendragarh,NA,812,8.0,12
3_6_69_0,3_6_69_0,Haryana,Panchkula,Haryana,Panchkula,NA,NA,NA,NA
3_6_75_0,3_6_75_0,Haryana,Panipat,Haryana,Panipat,NA,806,8.0,06
3_6_85_0,3_6_85_0,Haryana,Rewari,Haryana,Rewari,NA,811,8.0,11
3_6_82_0,3_6_82_0,Haryana,Rohtak,Haryana,Rohtak,NA,808,8.0,08
3_6_79_0,3_6_79_0,Haryana,Sirsa,Haryana,Sirsa,NA,816,8.0,16
3_6_76_0,3_6_76_0,Haryana,Sonipat,Haryana,Sonipat,NA,807,8.0,07
3_6_71_0,3_6_71_0,Haryana,Yamunanagar,Haryana,Yamunanagar,NA,802,8.0,02
3_2_30_0,3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,NA,905,9.0,05
3_2_23_0,3_2_23_0,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,NA,901,9.0,01
3_2_28_0,3_2_28_0,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,NA,903,9.0,03
3_2_24_0,3_2_24_0,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,NA,902,9.0,02
3_2_34_0,3_2_34_0,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,NA,912,9.0,12
3_2_26_0,3_2_26_0,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,NA,907,9.0,07
3_2_25_0,3_2_25_0,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,NA,908,9.0,08
3_2_27_0,3_2_27_0,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,NA,906,9.0,06
3_2_33_0,3_2_33_0,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,NA,909,9.0,09
3_2_32_0,3_2_32_0,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,NA,911,9.0,11
3_2_31_0,3_2_31_0,Himachal Pradesh,Solan,Himachal Pradesh,Solan,NA,910,9.0,10
3_2_29_0,3_2_29_0,Himachal Pradesh,Una,Himachal Pradesh,Una,NA,904,9.0,04
3_12_260_1,3_12_260_1,India/China  1,Anjaw,NA,NA,NA,NA,NA,NA
3_12_257_1,3_12_257_1,India/China  1,Dibang Valley,NA,NA,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.,NA,NA,NA
3_12_247_1,3_12_247_1,India/China  1,East Kameng,Arunachal Pradesh,East Kameng,NA,303,3.0,03
3_12_251_1,3_12_251_1,India/China  1,East Siang,NA,NA,NA,NA,NA,NA
3_12_259_1,3_12_259_1,India/China  1,Lohit,NA,NA,NA,NA,NA,NA
3_12_255_1,3_12_255_1,India/China  1,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,2000-04-01: Kurung Kumey district split from Lower Subansiri.,304,3.0,04
3_12_248_1,3_12_248_1,India/China  1,Papum Pare,NA,NA,NA,NA,NA,NA
3_12_245_1,3_12_245_1,India/China  1,Tawang,Arunachal Pradesh,Tawang,NA,301,3.0,01
3_12_252_1,3_12_252_1,India/China  1,Upper Siang,Arunachal Pradesh,Upper Siang,NA,NA,NA,NA
3_12_249_1,3_12_249_1,India/China  1,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,NA,305,3.0,05
3_12_246_1,3_12_246_1,India/China  1,West Kameng,Arunachal Pradesh,West Kameng,NA,302,3.0,02
3_12_250_1,3_12_250_1,India/China  1,West Siang,NA,NA,NA,NA,NA,NA
3_1_3_1,3_1_3_1,India/China  2,Leh(Ladakh),NA,NA,NA,NA,NA,NA
3_1_14_0,3_1_14_0,Jammu and Kashmir,Anantnag,Jammu  & Kashmir,Anantnag,Kulgam district split from Anantnag,1001,10.0,01
3_1_2_0,3_1_2_0,Jammu and Kashmir,Badgam,Jammu  & Kashmir,Badgam,NA,1004,10.0,04
3_1_8_0,3_1_8_0,Jammu and Kashmir,Baramula,Jammu  & Kashmir,Baramula,Bandipore district split from Baramula,1005,10.0,05
3_1_16_0,3_1_16_0,Jammu and Kashmir,Doda,Jammu  & Kashmir,Doda,Kishtwar district split from Doda,1009,10.0,09
3_1_21_0,3_1_21_0,Jammu and Kashmir,Jammu,Jammu  & Kashmir,Jammu,Samba district formed from parts of Jammu and Kathua,1012,10.0,12
3_1_4_0,3_1_4_0,Jammu and Kashmir,Kargil,Jammu  & Kashmir,Kargil,NA,1007,10.0,07
3_1_1_0,3_1_1_0,Jammu and Kashmir,Kupwara,Jammu  & Kashmir,Kupwara,NA,1006,10.0,06
3_1_3_0,3_1_3_0,Jammu and Kashmir,Leh(Ladakh),Jammu  & Kashmir,Leh (Ladakh),NA,1008,10.0,08
3_1_12_0,3_1_12_0,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,Shupiyan district split from Pulwama,1002,10.0,02
3_1_5_0,3_1_5_0,Jammu and Kashmir,Punch,Jammu  & Kashmir,Punch,NA,1014,10.0,14
3_1_6_0,3_1_6_0,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,Rajauri,NA,NA,NA,NA
3_1_17_0,3_1_17_0,Jammu and Kashmir,Ramban,NA,NA,NA,NA,NA,NA
3_1_20_0,3_1_20_0,Jammu and Kashmir,Reasi,NA,NA,NA,NA,NA,NA
3_1_10_0,3_1_10_0,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,Ganderbal district split from Srinagar,1003,10.0,03
3_1_19_0,3_1_19_0,Jammu and Kashmir,Udhampur,Jammu  & Kashmir,Udhampur,NA,1010,10.0,10
3_20_355_0,3_20_355_0,Jharkhand,Bokaro,Jharkhand,Bokaro,NA,NA,NA,NA
3_20_347_0,3_20_347_0,Jharkhand,Chatra,Jharkhand,Chatra,NA,NA,NA,NA
3_20_350_0,3_20_350_0,Jharkhand,Deoghar,Jharkhand,Deoghar,NA,NA,NA,NA
3_20_354_0,3_20_354_0,Jharkhand,Dhanbad,Jharkhand,Dhanbad,NA,NA,NA,NA
3_20_362_0,3_20_362_0,Jharkhand,Dumka,Jharkhand,Dumka,Jamtara district split from Dumka,NA,NA,NA
3_20_346_0,3_20_346_0,Jharkhand,Garhwa,Jharkhand,Garhwa,NA,NA,NA,NA
3_20_349_0,3_20_349_0,Jharkhand,Giridih,Jharkhand,Giridih,NA,NA,NA,NA
