1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
189,KER,Northern,Kasargod,12,1,1,
190,KER,Northern,Kannur,12,1,2,
191,KER,Northern,Wayanad,12,1,3,
192,KER,Northern,Kozhikode,12,1,4,
193,KER,Northern,Malapuram,12,1,5,
194,KER,Northern,Palakkad,12,1,6,
195,KER,Southern,Trichur,12,2,7,
196,KER,Southern,Ernakulam,12,2,8,
197,KER,Southern,Idukki,12,2,9,
198,KER,Southern,Alappuzm,12,2,11,
199,KER,Southern,Pathanamthitta,12,2,12,
200,KER,Southern,Kollam,12,2,13,
201,KER,Southern,Kottayam,12,2,10,
202,KER,Southern,Thiruvananthapuram,12,2,14,
203,LAK,LAK,Lakshadweep,32,1,1,
204,MAH,Coastal,Greater Bombay,14,1,1,
205,MAH,Coastal,Thane,14,1,2,
206,MAH,Coastal,Raigarh (Kulaba),14,1,3,
207,MAH,Coastal,Ratnagiri,14,1,4,
208,MAH,Coastal,Sindhudurg,14,1,5,
209,MAH,Eastern,Bhandara,14,6,28,
210,MAH,Eastern,Chandrapur,14,6,29,
211,MAH,Eastern,Gadchiroli,14,6,30,
212,MAH,Inland Central,Aurangabad,14,4,15,
213,MAH,Inland Central,Jalna,14,4,16,
214,MAH,Inland Central,Parbhani,14,4,17,
215,MAH,Inland Central,Bid,14,4,18,
216,MAH,Inland Central,Nanded,14,4,19,
217,MAH,Inland Central,Osmanabad,14,4,20,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
219,MAH,Inland East,Buldana,14,5,22,
220,MAH,Inland East,Akola,14,5,23,
221,MAH,Inland East,Amravati,14,5,24,
222,MAH,Inland East,Yavatmal,14,5,25,
223,MAH,Inland East,Wardha,14,5,26,
224,MAH,Inland East,Nagpur,14,5,27,
225,MAH,Inland North,Nasik,14,3,6,
226,MAH,Inland North,Dhule,14,3,7,
227,MAH,Inland North,Jalgaon,14,3,8,
228,MAH,Inland West,Ahmadnagar,14,2,9,
229,MAH,Inland West,Pune,14,2,10,
230,MAH,Inland West,Satara,14,2,11,
231,MAH,Inland West,Sangli,14,2,12,
232,MAH,Inland West,Solapur,14,2,13,
233,MAH,Inland West,Kolhapur,14,2,14,
234,MAN,Hills,Senapati,15,2,1,
235,MAN,Hills,Tamenglong,15,2,2,
236,MAN,Hills,Churachandpur,15,2,3,
237,MAN,Hills,Chandel,15,2,4,
238,MAN,Hills,Ukhrul,15,2,8,
239,MAN,Plains,Thoubal,15,1,5,
240,MAN,Plains,Bishnupur,15,1,6,
241,MAN,Plains,Imphal,15,1,7,
242,MEG,MEG,Jaintia Hills,16,1,1,
243,MEG,MEG,East Khasi Hills,16,1,2,
244,MEG,MEG,West Khasi Hills,16,1,3,
245,MEG,MEG,East Garo Hills,16,1,4,
246,MEG,MEG,West Garo Hills,16,1,5,
247,MEG,MEG,Ri-bhoi,16,1,6,
248,MEG,MEG,Bhagmara,16,1,7,
249,MIZ,MIZ,Aizwal,17,1,1,
