finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id50
3_29_555_0,Karnataka,Belgaum,Karnataka,BELGAUM,NA,1103
3_29_565_0,Karnataka,Bellary,Karnataka,BELLARY,NA,1104
3_29_558_0,Karnataka,Bidar,Karnataka,BIDAR,NA,1105
3_29_557_0,Karnataka,Bijapur,Karnataka,BIJAPUR,NA,1106
3_29_578_0,Karnataka,Chamarajanagar,Karnataka,CHAMARAJANAGAR,NA,NA
3_29_581_0,Karnataka,Chikkaballapura,NA,NA,Chikkaballapur district split from Kolar,NA
3_29_570_0,Karnataka,Chikmagalur,Karnataka,CHIKMAGALUR,NA,1107
3_29_566_0,Karnataka,Chitradurga,Karnataka,CHITRADURGA,NA,1108
3_29_575_0,Karnataka,Dakshina Kannada,Karnataka,DAKSHINA KANNADA,NA,NA
3_29_567_0,Karnataka,Davanagere,Karnataka,DAVANAGERE,NA,NA
3_29_562_0,Karnataka,Dharwad,Karnataka,DHARWAD,NA,1110
3_29_561_0,Karnataka,Gadag,Karnataka,GADAG,NA,NA
3_29_579_0,Karnataka,Gulbarga,Karnataka,GULBARGA,Yadgir district split from Gulbarga,1111
3_29_574_0,Karnataka,Hassan,Karnataka,HASSAN,NA,1112
3_29_564_0,Karnataka,Haveri,Karnataka,HAVERI,NA,NA
3_29_576_0,Karnataka,Kodagu,Karnataka,KODAGU,NA,1113
3_29_560_0,Karnataka,Koppal,Karnataka,KOPPAL,NA,NA
3_29_573_0,Karnataka,Mandya,Karnataka,MANDYA,NA,NA
3_29_577_0,Karnataka,Mysore,Karnataka,MYSORE,NA,1116
3_29_559_0,Karnataka,Raichur,Karnataka,RAICHUR,NA,1117
3_29_568_0,Karnataka,Shimoga,Karnataka,SHIMOGA,NA,1118
3_29_571_0,Karnataka,Tumkur,Karnataka,TUMKUR,NA,1119
3_29_569_0,Karnataka,Udupi,Karnataka,UDUPI,NA,NA
3_29_563_0,Karnataka,Uttara Kannada,Karnataka,UTTARA KANNADA,NA,NA
3_32_598_0,Kerala,Alappuzha,Kerala,ALAPPUZHA,NA,NA
3_32_595_0,Kerala,Ernakulam,Kerala,ERNAKULAM,NA,NA
3_32_596_0,Kerala,Idukki,Kerala,IDUKKI,NA,NA
3_32_589_0,Kerala,Kannur,Kerala,KANNUR,NA,1202
3_32_588_0,Kerala,Kasaragod,Kerala,KASARAGOD,NA,1201
3_32_600_0,Kerala,Kollam,Kerala,KOLLAM,NA,NA
3_32_597_0,Kerala,Kottayam,Kerala,KOTTAYAM,NA,1210
3_32_591_0,Kerala,Kozhikode,Kerala,KOZHIKODE,NA,NA
3_32_592_0,Kerala,Malappuram,Kerala,MALAPPURAM,NA,NA
3_32_593_0,Kerala,Palakkad,Kerala,PALAKKAD,NA,NA
3_32_599_0,Kerala,Pathanamthitta,Kerala,PATHANAMTHITTA,NA,NA
3_32_601_0,Kerala,Thiruvananthapuram,Kerala,THIRUVANANTHA- PURAM,NA,NA
3_32_594_0,Kerala,Thrissur,Kerala,THRISSUR,NA,1207
3_32_590_0,Kerala,Wayanad,Kerala,WAYANAD,NA,NA
3_31_587_0,Lakshadweep,Lakshadweep,Lakshadweep,LAKSHADWEEP,NA,NA
3_23_464_0,Madhya Pradesh,Alirajpur,NA,NA,Alirajpur district split from Jhabua,NA
3_23_460_0,Madhya Pradesh,Anuppur,NA,NA,Anuppur district split from Shahdol,NA
3_23_458_0,Madhya Pradesh,Ashoknagar,NA,NA,Ashoknagar district split from Guna,NA
3_23_457_0,Madhya Pradesh,Balaghat,Madhya Pradesh,BALAGHAT,NA,1338
3_23_441_0,Madhya Pradesh,Barwani,Madhya Pradesh,BARWANI,NA,NA
3_23_447_0,Madhya Pradesh,Betul,Madhya Pradesh,BETUL,NA,1331
3_23_420_0,Madhya Pradesh,Bhind,Madhya Pradesh,BHIND,NA,1302
3_23_444_0,Madhya Pradesh,Bhopal,Madhya Pradesh,BHOPAL,NA,1328
3_23_466_0,Madhya Pradesh,Burhanpur,NA,NA,Burhanpur district split from Khandwa (East Nimar),NA
3_23_425_0,Madhya Pradesh,Chhatarpur,Madhya Pradesh,CHHATARPUR,NA,1308
3_23_455_0,Madhya Pradesh,Chhindwara,Madhya Pradesh,CHHINDWARA,NA,NA
3_23_428_0,Madhya Pradesh,Damoh,Madhya Pradesh,DAMOH,NA,NA
3_23_422_0,Madhya Pradesh,Datia,Madhya Pradesh,DATIA,NA,1304
3_23_437_0,Madhya Pradesh,Dewas,Madhya Pradesh,DEWAS,NA,1320
3_23_438_0,Madhya Pradesh,Dhar,Madhya Pradesh,DHAR,NA,1322
3_23_453_0,Madhya Pradesh,Dindori,Madhya Pradesh,DINDORI,NA,NA
3_23_421_0,Madhya Pradesh,Gwalior,Madhya Pradesh,GWALIOR,NA,1303
3_23_448_0,Madhya Pradesh,Harda,Madhya Pradesh,HARDA,NA,NA
3_23_449_0,Madhya Pradesh,Hoshangabad,Madhya Pradesh,HOSHANGABAD,NA,NA
3_23_439_0,Madhya Pradesh,Indore,Madhya Pradesh,INDORE,NA,1323
3_23_451_0,Madhya Pradesh,Jabalpur,Madhya Pradesh,JABALPUR,NA,1333
3_23_450_0,Madhya Pradesh,Katni,Madhya Pradesh,KATNI,NA,NA
3_23_440_0,Madhya Pradesh,Khargone (West Nimar),Madhya Pradesh,WEST NIMAR,NA,NA
3_23_454_0,Madhya Pradesh,Mandla,Madhya Pradesh,MANDLA,NA,1335
3_23_433_0,Madhya Pradesh,Mandsaur,Madhya Pradesh,MANDSAUR,NA,NA
3_23_419_0,Madhya Pradesh,Morena,Madhya Pradesh,MORENA,NA,1301
3_23_452_0,Madhya Pradesh,Narsimhapur,Madhya Pradesh,NARSIMHAPUR,NA,1334
3_23_432_0,Madhya Pradesh,Neemuch,Madhya Pradesh,NEEMUCH,NA,NA
3_23_426_0,Madhya Pradesh,Panna,Madhya Pradesh,PANNA,NA,1309
3_23_446_0,Madhya Pradesh,Raisen,Madhya Pradesh,RAISEN,NA,1330
3_23_442_0,Madhya Pradesh,Rajgarh,Madhya Pradesh,RAJGARH,NA,1326
3_23_434_0,Madhya Pradesh,Ratlam,Madhya Pradesh,RATLAM,NA,1317
3_23_430_0,Madhya Pradesh,Rewa,Madhya Pradesh,REWA,NA,1313
3_23_427_0,Madhya Pradesh,Sagar,Madhya Pradesh,SAGAR,NA,1310
3_23_429_0,Madhya Pradesh,Satna,Madhya Pradesh,SATNA,NA,1312
3_23_445_0,Madhya Pradesh,Sehore,Madhya Pradesh,SEHORE,NA,1329
3_23_456_0,Madhya Pradesh,Seoni,Madhya Pradesh,SEONI,NA,1337
3_23_436_0,Madhya Pradesh,Shajapur,Madhya Pradesh,SHAJAPUR,NA,1319
3_23_418_0,Madhya Pradesh,Sheopur,Madhya Pradesh,SHEOPUR,NA,NA
3_23_423_0,Madhya Pradesh,Shivpuri,Madhya Pradesh,SHIVPURI,NA,NA
3_23_462_0,Madhya Pradesh,Sidhi,Madhya Pradesh,SIDHI,Singrauli district split from Sidhi,1315
3_23_424_0,Madhya Pradesh,Tikamgarh,Madhya Pradesh,TIKAMGARH,NA,1307
3_23_435_0,Madhya Pradesh,Ujjain,Madhya Pradesh,UJJAIN,NA,1318
3_23_431_0,Madhya Pradesh,Umaria,Madhya Pradesh,UMARIA,NA,NA
3_23_443_0,Madhya Pradesh,Vidisha,Madhya Pradesh,VIDISHA,NA,1327
3_27_522_0,Maharashtra,Ahmadnagar,Maharashtra,AHMADNAGAR,NA,NA
3_27_501_0,Maharashtra,Akola,Maharashtra,AKOLA,NA,1423
3_27_503_0,Maharashtra,Amravati,Maharashtra,AMARAVATI,NA,NA
3_27_515_0,Maharashtra,Aurangabad,Maharashtra,AURANGABAD,NA,505
3_27_506_0,Maharashtra,Bhandara,Maharashtra,BHANDARA,NA,NA
3_27_523_0,Maharashtra,Bid,Maharashtra,BID,NA,1418
3_27_500_0,Maharashtra,Buldana,Maharashtra,BULDANA,NA,1422
3_27_509_0,Maharashtra,Chandrapur,Maharashtra,CHANDRAPUR,NA,1429
3_27_498_0,Maharashtra,Dhule,Maharashtra,DHULE,NA,1407
3_27_508_0,Maharashtra,Gadchiroli,Maharashtra,GADCHIROLI,NA,NA
3_27_507_0,Maharashtra,Gondiya,Maharashtra,GONDIYA,NA,NA
3_27_512_0,Maharashtra,Hingoli,Maharashtra,HINGOLI,NA,NA
3_27_499_0,Maharashtra,Jalgaon,Maharashtra,JALGAON,NA,NA
3_27_514_0,Maharashtra,Jalna,Maharashtra,JALNA,NA,1416
3_27_530_0,Maharashtra,Kolhapur,Maharashtra,KOLHAPUR,NA,NA
3_27_524_0,Maharashtra,Latur,Maharashtra,LATUR,NA,1421
