spatialId,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,finalId,Note
3_2_32_0,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,3_2_32_0,NA
3_2_31_0,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,3_2_31_0,NA
3_2_29_0,Himachal Pradesh,Una,Himachal Pradesh,Una,Himachal Pradesh,Una,3_2_29_0,NA
3_12_260_1,India/China  1,Anjaw,NA,NA,NA,NA,3_12_260_1,NA
3_12_257_1,India/China  1,Dibang Valley,NA,NA,NA,NA,3_12_257_1,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.
3_12_247_1,India/China  1,East Kameng,Arunachal Pradesh,East Kameng,NA,NA,3_12_247_1,NA
3_12_251_1,India/China  1,East Siang,NA,NA,NA,NA,3_12_251_1,NA
3_12_256_1,India/China  1,Kurung Kumey,NA,NA,NA,NA,3_12_255_1,2000-04-01: Kurung Kumey district split from Lower Subansiri.
3_12_259_1,India/China  1,Lohit,NA,NA,NA,NA,3_12_259_1,NA
3_12_258_1,India/China  1,Lower Dibang Valley,NA,NA,NA,NA,3_12_257_1,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.
3_12_255_1,India/China  1,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,NA,NA,3_12_255_1,2000-04-01: Kurung Kumey district split from Lower Subansiri.
3_12_248_1,India/China  1,Papum Pare,NA,NA,NA,NA,3_12_248_1,NA
3_12_245_1,India/China  1,Tawang,Arunachal Pradesh,Tawang,NA,NA,3_12_245_1,NA
3_12_252_1,India/China  1,Upper Siang,Arunachal Pradesh,Upper Siang,NA,NA,3_12_252_1,NA
3_12_249_1,India/China  1,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,NA,NA,3_12_249_1,NA
3_12_246_1,India/China  1,West Kameng,Arunachal Pradesh,West Kameng,NA,NA,3_12_246_1,NA
3_12_250_1,India/China  1,West Siang,NA,NA,NA,NA,3_12_250_1,NA
3_1_3_1,India/China  2,Leh(Ladakh),NA,NA,NA,NA,3_1_3_1,NA
3_1_14_0,Jammu and Kashmir,Anantnag,Jammu  & Kashmir,Anantnag,Jammu  & Kashmir,Anantnag,3_1_14_0,Kulgam district split from Anantnag
3_1_2_0,Jammu and Kashmir,Badgam,Jammu  & Kashmir,Badgam,Jammu  & Kashmir,Badgam,3_1_2_0,NA
3_1_9_0,Jammu and Kashmir,Bandipore,NA,NA,NA,NA,3_1_8_0,Bandipore district split from Baramula
3_1_8_0,Jammu and Kashmir,Baramula,Jammu  & Kashmir,Baramula,Jammu  & Kashmir,Baramula,3_1_8_0,Bandipore district split from Baramula
3_1_16_0,Jammu and Kashmir,Doda,Jammu  & Kashmir,Doda,Jammu  & Kashmir,Doda,3_1_16_0,Kishtwar district split from Doda
3_1_11_0,Jammu and Kashmir,Ganderbal,NA,NA,NA,NA,3_1_10_0,Ganderbal district split from Srinagar
3_1_21_0,Jammu and Kashmir,Jammu,Jammu  & Kashmir,Jammu,Jammu  & Kashmir,Jammu,3_1_21_0,Samba district formed from parts of Jammu and Kathua
3_1_4_0,Jammu and Kashmir,Kargil,Jammu  & Kashmir,Kargil,Jammu  & Kashmir,Kargil,3_1_4_0,NA
3_1_7_0,Jammu and Kashmir,Kathua,Jammu  & Kashmir,Kathua,Jammu  & Kashmir,Kathua,3_1_21_0,Samba district formed from parts of Jammu and Kathua
3_1_18_0,Jammu and Kashmir,Kishtwar,NA,NA,NA,NA,3_1_16_0,Kishtwar district split from Doda
3_1_15_0,Jammu and Kashmir,Kulgam,NA,NA,NA,NA,3_1_14_0,Kulgam district split from Anantnag
