spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_6_87_0,Haryana,Mewat,Haryana,Mewat,3_6_86_0,Faridabad split 2005,Mewat district split from Gurgaon
3_6_69_0,Haryana,Panchkula,Haryana,Panchkula,3_6_69_0,Ambala split 1995,NA
3_6_75_0,Haryana,Panipat,Haryana,Panipat,3_6_75_0,Karnal split 1989,NA
3_6_85_0,Haryana,Rewari,Haryana,Rewari,3_6_85_0,Gurgaon + Mahendragarh 1989,NA
3_6_82_0,Haryana,Rohtak,Haryana,Rohtak,3_6_82_0,,NA
3_6_79_0,Haryana,Sirsa,Haryana,Sirsa,3_6_79_0,,NA
3_6_76_0,Haryana,Sonipat,Haryana,Sonipat,3_6_76_0,,NA
3_6_71_0,Haryana,Yamunanagar,Haryana,Yamunanagar,3_6_71_0,Kurukshetra split 1989,NA
3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,3_2_30_0,,NA
3_2_23_0,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,3_2_23_0,,NA
3_2_28_0,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,3_2_28_0,,NA
3_2_24_0,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,3_2_24_0,,NA
3_2_34_0,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,3_2_34_0,,NA
3_2_26_0,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,3_2_26_0,,NA
3_2_25_0,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,3_2_25_0,,NA
3_2_27_0,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,3_2_27_0,,NA
3_2_33_0,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,3_2_33_0,,NA
3_2_32_0,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,3_2_32_0,,NA
3_2_31_0,Himachal Pradesh,Solan,Himachal Pradesh,Solan,3_2_31_0,,NA
3_2_29_0,Himachal Pradesh,Una,Himachal Pradesh,Una,3_2_29_0,,NA
3_1_14_0,Jammu and Kashmir,Anantnag,Jammu  & Kashmir,Anantnag,NA,,NA
3_1_2_0,Jammu and Kashmir,Badgam,Jammu  & Kashmir,Badgam,3_1_2_0,,NA
3_1_8_0,Jammu and Kashmir,Baramula,Jammu  & Kashmir,Baramula,NA,,NA
3_1_16_0,Jammu and Kashmir,Doda,Jammu  & Kashmir,Doda,NA,,NA
3_1_21_0,Jammu and Kashmir,Jammu,Jammu  & Kashmir,Jammu,NA,,NA
3_1_4_0,Jammu and Kashmir,Kargil,Jammu  & Kashmir,Kargil,3_1_4_0,,NA
3_1_7_0,Jammu and Kashmir,Kathua,Jammu  & Kashmir,Kathua,NA,,NA
3_1_1_0,Jammu and Kashmir,Kupwara,Jammu  & Kashmir,Kupwara,3_1_1_0,,NA
3_1_3_0,Jammu and Kashmir,Leh(Ladakh),Jammu  & Kashmir,Leh (Ladakh),NA,,NA
3_1_12_0,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,NA,,NA
3_1_5_0,Jammu and Kashmir,Punch,Jammu  & Kashmir,Punch,3_1_5_0,,NA
3_1_6_0,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,Rajauri,3_1_6_0,,NA
3_1_10_0,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,3_1_10_0,,NA
3_1_19_0,Jammu and Kashmir,Udhampur,Jammu  & Kashmir,Udhampur,3_1_19_0,,NA
3_20_355_0,Jharkhand,Bokaro,Jharkhand,Bokaro,3_20_355_0,Dhanbad + Giridih 1991,NA
3_20_347_0,Jharkhand,Chatra,Jharkhand,Chatra,3_20_347_0,Hazaribagh split 1991,NA
