id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,elev,rough,irr_all,ac_irr,irr_gw,irr_sw,lcrt
3_23_430_0,2001,Total,3,India,23,Madhya Pradesh,430,Rewa,290,95.7,,,,,
3_23_431_0,2001,Total,3,India,23,Madhya Pradesh,431,Umaria,469,84.5,,,,,
3_23_432_0,2001,Total,3,India,23,Madhya Pradesh,432,Neemuch,461,44.1,,,,,
3_23_433_0,2001,Total,3,India,23,Madhya Pradesh,433,Mandsaur,440,32.2,,,,,
3_23_434_0,2001,Total,3,India,23,Madhya Pradesh,434,Ratlam,456,51.2,,,,,
3_23_435_0,2001,Total,3,India,23,Madhya Pradesh,435,Ujjain,490,18.9,,,,,
3_23_436_0,2001,Total,3,India,23,Madhya Pradesh,436,Shajapur,449,35.7,,,,,
3_23_437_0,2001,Total,3,India,23,Madhya Pradesh,437,Dewas,415,109,,,,,
3_23_438_0,2001,Total,3,India,23,Madhya Pradesh,438,Dhar,388,149,,,,,
3_23_439_0,2001,Total,3,India,23,Madhya Pradesh,439,Indore,543,49.90000000000001,,,,,
3_23_440_0,2001,Total,3,India,23,Madhya Pradesh,440,Khargone (West Nimar),328,154,,,,,
3_23_441_0,2001,Total,3,India,23,Madhya Pradesh,441,Barwani,371,150,,,,,
3_23_442_0,2001,Total,3,India,23,Madhya Pradesh,442,Rajgarh,425,29.4,,,,,
3_23_443_0,2001,Total,3,India,23,Madhya Pradesh,443,Vidisha,451,40,,,,,
3_23_444_0,2001,Total,3,India,23,Madhya Pradesh,444,Bhopal,484,28.1,,,,,
3_23_445_0,2001,Total,3,India,23,Madhya Pradesh,445,Sehore,444,87.30000000000001,,,,,
3_23_446_0,2001,Total,3,India,23,Madhya Pradesh,446,Raisen,440,82.2,,,,,
3_23_447_0,2001,Total,3,India,23,Madhya Pradesh,447,Betul,605,128,,,,,
3_23_448_0,2001,Total,3,India,23,Madhya Pradesh,448,Harda,348,94.2,,,,,
3_23_449_0,2001,Total,3,India,23,Madhya Pradesh,449,Hoshangabad,388,132,,,,,
3_23_450_0,2001,Total,3,India,23,Madhya Pradesh,450,Katni,423,50.8,,,,,
3_23_451_0,2001,Total,3,India,23,Madhya Pradesh,451,Jabalpur,425,67.3,,,,,
3_23_452_0,2001,Total,3,India,23,Madhya Pradesh,452,Narsimhapur,397,85.40000000000001,,,,,
3_23_453_0,2001,Total,3,India,23,Madhya Pradesh,453,Dindori,763,107,,,,,
3_23_454_0,2001,Total,3,India,23,Madhya Pradesh,454,Mandla,563,95,,,,,
3_23_455_0,2001,Total,3,India,23,Madhya Pradesh,455,Chhindwara,643,149,,,,,
3_23_456_0,2001,Total,3,India,23,Madhya Pradesh,456,Seoni,533,79.7,,,,,
3_23_457_0,2001,Total,3,India,23,Madhya Pradesh,457,Balaghat,474,152,,,,,
3_23_458_0,2001,Total,3,India,23,Madhya Pradesh,458,Guna,444,44.5,,,,,
3_23_459_0,2001,Total,3,India,23,Madhya Pradesh,459,Ashoknagar,452,41.6,,,,,
3_23_460_0,2001,Total,3,India,23,Madhya Pradesh,460,Shahdol,452,78.7,,,,,
3_23_461_0,2001,Total,3,India,23,Madhya Pradesh,461,Anuppur,673,162,,,,,
3_23_462_0,2001,Total,3,India,23,Madhya Pradesh,462,Sidhi,365,94.7,,,,,
3_23_463_0,2001,Total,3,India,23,Madhya Pradesh,463,Singrauli,363,81.90000000000001,,,,,
