id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,83.5,75.5,91.80000000000001
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,72.90000000000001,61.5,83.90000000000001
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,75.40000000000001,65.3,85.5
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,82.10000000000001,74.8,89.60000000000001
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,73.10000000000001,65.40000000000001,80.10000000000001
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,73.10000000000001,65.40000000000001,80.10000000000001
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,,,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,55.7,47.8,63.40000000000001
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,56.2,48,64.3
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,60.3,49.2,71.2
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,76.10000000000001,70.90000000000001,80.60000000000001
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,79.10000000000001,74.8,83
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,93.7,92.60000000000001,94.80000000000001
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,86.5,85.40000000000001,87.5
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,91.30000000000001,90.2,92.30000000000001
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,95.10000000000001,93.90000000000001,96.2
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,94.2,93.10000000000001,95.2
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,96.5,96.30000000000001,96.7
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,97.2,97.2,97.2
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,90.30000000000001,87,93.5
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,91.2,89.10000000000001,93.10000000000001
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,92.40000000000001,92.30000000000001,92.5
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,94.2,93.2,95.10000000000001
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,95.2,94.10000000000001,96.2
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,96.30000000000001,95.10000000000001,97.5
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,75.10000000000001,68.90000000000001,80.7
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,84.2,80.60000000000001,87.40000000000001
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,96,95.80000000000001,96.2
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,67.2,61,72.7
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,67.2,61,72.7
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,,,
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,74.90000000000001,68.8,80.90000000000001
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,82.90000000000001,78.5,87.10000000000001
