id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_7_t,emp_7_t,wkp_7_f,emp_7_f,wkp_7_m,emp_7_m
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,79,54.6,78.30000000000001,43.40000000000001,79.5,64.3
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,80,50.8,79.10000000000001,36.9,80.7,62.6
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,80,50.8,79.10000000000001,36.9,80.7,62.6
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,83.7,37.5,82.2,12.9,85,57
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,83.7,37.5,82.2,12.9,85,57
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,80.7,63.90000000000001,79.30000000000001,57.2,81.90000000000001,69.2
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,80.7,63.90000000000001,79.30000000000001,57.2,81.90000000000001,69.2
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,80.7,63.90000000000001,79.30000000000001,57.2,81.90000000000001,69.2
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,80.7,63.90000000000001,79.30000000000001,57.2,81.90000000000001,69.2
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,85.10000000000001,60.3,84.30000000000001,57.8,85.90000000000001,62.5
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,85,59,84.2,56,85.80000000000001,61.7
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,83.5,39.8,82.5,26.9,84.2,50.1
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,90,54.40000000000001,89.60000000000001,52.1,90.30000000000001,56.40000000000001
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,89.80000000000001,52.40000000000001,89.5,48.5,90.2,55.90000000000001
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,89,39.7,88.30000000000001,23.1,89.60000000000001,53
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,84.60000000000001,49.6,84.5,48.40000000000001,84.7,50.8
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,84.7,48.1,84.40000000000001,45.7,84.90000000000001,50.3
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,84.7,33.2,83.5,17.8,85.7,45.2
