id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,at,cm,nd
3_20_364_0,2001,Total,3,India,20,Jharkhand,364,Ranchi,13.1,.28,109,193
3_20_365_0,2001,Total,3,India,20,Jharkhand,365,Khunti,7.5,.22,110,175
3_20_366_0,2001,Total,3,India,20,Jharkhand,366,Gumla,11.7,.17,108,170
3_20_367_0,2001,Total,3,India,20,Jharkhand,367,Simdega,16.3,.23,110,166
3_20_368_0,2001,Total,3,India,20,Jharkhand,368,Pashchimi Singhbhum,8.800000000000001,.27,110,173
3_20_369_0,2001,Total,3,India,20,Jharkhand,369,Saraikela-Kharsawan,8.200000000000001,.34,109,214
3_21_370_0,2001,Total,3,India,21,Odisha,370,Bargarh,11.9,.31,106,181
3_21_371_0,2001,Total,3,India,21,Odisha,371,Jharsuguda,12,.31,104,205
3_21_372_0,2001,Total,3,India,21,Odisha,372,Sambalpur,13.3,.29,105,186
3_21_373_0,2001,Total,3,India,21,Odisha,373,Debagarh,19,.27,105,209
3_21_374_0,2001,Total,3,India,21,Odisha,374,Sundargarh,15.6,.28,108,190
3_21_375_0,2001,Total,3,India,21,Odisha,375,Kendujhar,15.8,.27,109,173
3_21_376_0,2001,Total,3,India,21,Odisha,376,Mayurbhanj,13.4,.29,106,161
3_21_377_0,2001,Total,3,India,21,Odisha,377,Baleshwar,11.3,.4,103,173
3_21_378_0,2001,Total,3,India,21,Odisha,378,Bhadrak,4.800000000000001,.44,106,150
3_21_379_0,2001,Total,3,India,21,Odisha,379,Kendrapara,4,.41,106,134
3_21_380_0,2001,Total,3,India,21,Odisha,380,Jagatsinghapur,4.5,.37,106,138
3_21_381_0,2001,Total,3,India,21,Odisha,381,Cuttack,14.8,.33,107,179
3_21_382_0,2001,Total,3,India,21,Odisha,382,Jajapur,7.300000000000001,.36,106,167
3_21_383_0,2001,Total,3,India,21,Odisha,383,Dhenkanal,8.9,.31,107,265
3_21_384_0,2001,Total,3,India,21,Odisha,384,Anugul,15.8,.29,107,271
3_21_385_0,2001,Total,3,India,21,Odisha,385,Nayagarh,23.3,.31,107,160
3_21_386_0,2001,Total,3,India,21,Odisha,386,Khordha,15.9,.34,107,160
3_21_387_0,2001,Total,3,India,21,Odisha,387,Puri,8.1,.38,108,149
3_21_388_0,2001,Total,3,India,21,Odisha,388,Ganjam,28.2,.3,104,144
3_21_389_0,2001,Total,3,India,21,Odisha,389,Gajapati,44.8,.24,105,126
3_21_390_0,2001,Total,3,India,21,Odisha,390,Kandhamal,30.5,.22,107,140
3_21_391_0,2001,Total,3,India,21,Odisha,391,Baudh,10.3,.32,108,164
3_21_392_0,2001,Total,3,India,21,Odisha,392,Subarnapur,9.9,.33,107,167
3_21_393_0,2001,Total,3,India,21,Odisha,393,Balangir,4.3,.3,109,146
3_21_394_0,2001,Total,3,India,21,Odisha,394,Nuapada,17.4,.26,108,142
3_21_395_0,2001,Total,3,India,21,Odisha,395,Kalahandi,9,.27,111,126
3_21_396_0,2001,Total,3,India,21,Odisha,396,Rayagada,32.1,.22,109,129
3_21_397_0,2001,Total,3,India,21,Odisha,397,Nabarangapur,11.6,.22,113,125
3_21_398_0,2001,Total,3,India,21,Odisha,398,Koraput,15.5,.19,114,115
3_21_399_0,2001,Total,3,India,21,Odisha,399,Malkangiri,28.6,.22,113,111
3_22_400_0,2001,Total,3,India,22,Chhattisgarh,400,Koriya,26.4,.23,104,202
3_22_401_0,2001,Total,3,India,22,Chhattisgarh,401,Surguja,16.6,.24,105,247
