id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_elec_t,hh_fuel_cook_1,hh_fuel_cook_2,hh_fuel_cook_3,hh_fuel_cook_4,hh_fuel_cook_5,hh_fuel_cook_6
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,85.40000000000001,40.7,.2,10.4,47.5,.2,0
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,52.2,93.30000000000001,0,1.3,5.2,0,0
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,58.1,82.7,0,4.2,12.8,.1,0
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,85.5,33,0,17.4,48.7,.2,.1
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,58.6,91.30000000000001,0,.9,5.4,1.8,0
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,64.10000000000001,82.90000000000001,0,2.8,12,1.6,0
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,98.7,29.2,.1,14.8,54,.1,0
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,58.6,91.30000000000001,0,.9,5.4,1.8,0
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,64.10000000000001,82.90000000000001,0,2.8,12,1.6,0
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,98.7,29.2,.1,14.8,54,.1,0
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,41.8,87.5,0,.7000000000000001,11.3,0,0
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,50.6,75.60000000000001,0,1.3,22.4,0,0
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,90.5,21.4,0,4.100000000000001,73.40000000000001,0,0
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,41.8,87.5,0,.7000000000000001,11.3,0,0
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,41.8,87.5,0,.7000000000000001,11.3,0,0
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,50.6,75.60000000000001,0,1.3,22.4,0,0
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,50.6,75.60000000000001,0,1.3,22.4,0,0
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,90.5,21.4,0,4.100000000000001,73.40000000000001,0,0
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,90.5,21.4,0,4.100000000000001,73.40000000000001,0,0
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,25.9,90.90000000000001,.1,.8,7.4,0,.1
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,25.9,90.90000000000001,.1,.8,7.4,0,.1
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,36.4,82.40000000000001,.1,1.4,15.3,0,.1
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,36.4,82.40000000000001,.1,1.4,15.3,0,.1
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,73.8,52,0,3.4,43.40000000000001,0,0
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,73.8,52,0,3.4,43.40000000000001,0,0
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,25.9,90.90000000000001,.1,.8,7.4,0,.1
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,25.9,90.90000000000001,.1,.8,7.4,0,.1
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,36.4,82.40000000000001,.1,1.4,15.3,0,.1
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,36.4,82.40000000000001,.1,1.4,15.3,0,.1
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,73.8,52,0,3.4,43.40000000000001,0,0
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,73.8,52,0,3.4,43.40000000000001,0,0
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,29.6,99.30000000000001,0,.2,.3,.1,.1
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,34.1,97.2,0,.6000000000000001,1.8,.1,.2
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,76.3,77.5,0,5.2,15.4,0,1.4
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,74.3,93.60000000000001,0,.2,5.600000000000001,.1,.3
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,77.7,88.7,0,.5,10.2,.1,.2
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,94.60000000000001,65,0,2.1,32.7,.1,0
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,51,99.40000000000001,0,.1,.2,.1,0
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,54.7,97.80000000000001,0,.7000000000000001,1,.1,.3
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,86.90000000000001,86.40000000000001,0,4.3,7.100000000000001,.1,2
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,56.6,96.10000000000001,0,.4,1,2.1,0
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,63.90000000000001,93.40000000000001,0,.9,3.5,1.7,.1
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,92.80000000000001,82.7,0,3.2,13.6,0,.3
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,66.8,83.60000000000001,0,1.7,14,.1,.2
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,75.7,66.10000000000001,.1,6,26.8,.1,.2
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,88.60000000000001,40.90000000000001,.1,12.2,45.2,.1,.4
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,72.40000000000001,98.80000000000001,0,.2,.7000000000000001,.1,0
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,73.60000000000001,97.30000000000001,0,.8,1.7,.1,0
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,87.30000000000001,80.5,0,7,12.2,0,0
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,37.8,99.40000000000001,0,.2,.2,.1,0
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,42.1,98.80000000000001,0,.3,.7000000000000001,.1,0
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,86.40000000000001,92.2,0,1.9,5.800000000000001,0,.1
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,37.8,99.40000000000001,0,.2,.2,.1,0
