id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,yieldvus_all,yieldvus_sel7,yieldvus_sel6,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldp_all,yieldp_sel7,yieldp_sel6,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5
3_18_321_0,2001,Total,3,India,18,Assam,321,Kamrup,.73,,.15,,.31,.61,2.2,.34,1.9,,.62,,.5600000000000001,1.5,36.2,1.1
3_18_322_0,2001,Total,3,India,18,Assam,322,Kamrup Metropolitan,,,,,,,,,,,,,,,,
3_18_323_0,2001,Total,3,India,18,Assam,323,Nalbari,.5700000000000001,,.18,,.34,.48,2.3,.39,1.5,,.75,,.63,1.2,39,1.3
3_18_324_0,2001,Total,3,India,18,Assam,324,Baksa,.5700000000000001,,.18,,.34,.48,2.3,.39,1.5,,.75,,.63,1.2,39,1.3
3_18_325_0,2001,Total,3,India,18,Assam,325,Darrang,.6800000000000001,,.15,,.32,.49,2,.39,1.7,,.61,,.6,1.2,33.3,1.3
3_18_326_0,2001,Total,3,India,18,Assam,326,Udalguri,,,,,,,,,,,,,,,,
3_19_327_0,2001,Total,3,India,19,West Bengal,327,Darjiling,1.1,1.2,.62,.3,.6900000000000001,.62,,.54,2.6,1.5,2.6,1.2,.6800000000000001,1.5,,1.8
3_19_328_0,2001,Total,3,India,19,West Bengal,328,Jalpaiguri,1.4,1.3,.63,.28,.53,.61,4.600000000000001,.59,3.2,1.6,2.6,1.1,.52,1.5,77.5,1.9
3_19_329_0,2001,Total,3,India,19,West Bengal,329,Koch Bihar,1.7,.8200000000000001,.6900000000000001,.07,.48,.6800000000000001,4.600000000000001,.63,3.6,1,2.9,.3,.66,1.6,77.5,2
3_19_330_0,2001,Total,3,India,19,West Bengal,330,Uttar Dinajpur,1.5,1.6,.6900000000000001,.43,.47,.87,4.600000000000001,.75,3.1,1.9,2.9,1.7,.49,2.1,77.5,2.4
3_19_331_0,2001,Total,3,India,19,West Bengal,331,Dakshin Dinajpur,1.1,1.1,.96,,.62,.86,4.600000000000001,.75,2.6,1.4,4,,.61,2.1,77.5,2.4
3_19_332_0,2001,Total,3,India,19,West Bengal,332,Maldah,1.3,.8,.62,,.53,.96,4.3,.76,3.8,.97,2.6,,.64,2.3,72.90000000000001,2.5
3_19_333_0,2001,Total,3,India,19,West Bengal,333,Murshidabad,2.5,1.3,.54,.15,.79,.96,3.7,.79,5.2,1.6,2.2,.46,.91,2.3,61.3,2.6
3_19_334_0,2001,Total,3,India,19,West Bengal,334,Birbhum,1.1,.72,.44,.21,.67,1.1,4.7,.87,3.2,.87,1.8,.65,.88,2.6,79.5,2.8
3_19_335_0,2001,Total,3,India,19,West Bengal,335,Barddhaman,1.4,1.2,.38,.27,.76,1.1,3.8,.73,4.3,1.5,1.6,1.2,.88,2.7,64.5,2.4
3_19_336_0,2001,Total,3,India,19,West Bengal,336,Nadia,2.5,1.3,.5600000000000001,.16,.5600000000000001,1.1,3.6,.74,4.7,1.6,2.3,.48,.67,2.7,60.40000000000001,2.4
3_19_337_0,2001,Total,3,India,19,West Bengal,337,North Twenty Four Parganas,2,1.3,,,.6900000000000001,1,3.7,.73,4.2,1.5,,,.73,2.4,61.8,2.4
3_19_338_0,2001,Total,3,India,19,West Bengal,338,Hugli,2.4,1.3,.48,.31,.79,1,4.3,.6800000000000001,8.1,1.6,2,1.2,.76,2.5,71.8,2.2
3_19_339_0,2001,Total,3,India,19,West Bengal,339,Bankura,1.1,.5700000000000001,.41,.15,.6800000000000001,1,5.7,.71,3.6,.7000000000000001,1.7,.5700000000000001,.66,2.5,95.2,2.3
3_19_340_0,2001,Total,3,India,19,West Bengal,340,Puruliya,.74,.58,.42,.08,.45,.75,4.9,.77,1.9,.71,1.8,.29,.44,1.8,82.2,2.5
3_19_341_0,2001,Total,3,India,19,West Bengal,341,Haora,1.4,.86,,,.5700000000000001,.87,3.8,.54,4.100000000000001,1,,,.52,2.1,63.2,1.8
3_19_342_0,2001,Total,3,India,19,West Bengal,342,Kolkata,,,,,,,,,,,,,,,,
3_19_343_0,2001,Total,3,India,19,West Bengal,343,South Twenty Four Parganas,.89,.78,,,.63,.85,3.7,.49,2.1,.9500000000000001,,,.55,2,61.8,1.6
3_19_344_0,2001,Total,3,India,19,West Bengal,344,Paschim Medinipur,1.2,.97,.42,.32,.76,.9400000000000001,5.5,.65,4.4,1.2,1.7,1,.6900000000000001,2.3,92.60000000000001,2.1
3_19_345_0,2001,Total,3,India,19,West Bengal,345,Purba Medinipur,1.2,1.2,,,.73,.9300000000000001,4.100000000000001,.72,3.1,1.5,,,.72,2.2,68.8,2.3
3_1_1_0,2001,Total,3,India,1,Jammu and Kashmir,1,Kupwara,.18,,.11,,,.32,,.31,.5600000000000001,,.47,,,.78,,1
3_1_10_0,2001,Total,3,India,1,Jammu and Kashmir,10,Srinagar,.73,,.17,,,1,,.62,1.8,,.7000000000000001,,,2.4,,2
3_1_11_0,2001,Total,3,India,1,Jammu and Kashmir,11,Ganderbal,.73,,.17,,,1,,.62,1.8,,.7000000000000001,,,2.4,,2
3_1_12_0,2001,Total,3,India,1,Jammu and Kashmir,12,Pulwama,.45,,.17,,,.71,,.51,1.1,,.71,,,1.7,,1.7
3_1_13_0,2001,Total,3,India,1,Jammu and Kashmir,13,Shupiyan,.45,,.17,,,.71,,.51,1.1,,.71,,,1.7,,1.7
3_1_14_0,2001,Total,3,India,1,Jammu and Kashmir,14,Anantnag,.54,,.23,,,.85,,.44,1.4,,.9300000000000001,,,2.1,,1.4
3_1_15_0,2001,Total,3,India,1,Jammu and Kashmir,15,Kulgam,.54,,.23,,,.85,,.44,1.4,,.9300000000000001,,,2.1,,1.4
3_1_16_0,2001,Total,3,India,1,Jammu and Kashmir,16,Doda,.22,,.24,.11,.06,.38,,.14,.8300000000000001,,.98,.48,.13,.91,,.45
3_1_17_0,2001,Total,3,India,1,Jammu and Kashmir,17,Ramban,.22,,.24,.11,.06,.38,,.14,.8300000000000001,,.98,.48,.13,.91,,.45
