id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,6.100000000000001
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,17.3
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,16.3
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,22.6
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,35.2
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,15.7
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,22.1
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,38.7
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,5.5
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,5.5
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,3.2
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,3.2
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,6.9
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,6.9
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,6.300000000000001
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,7.600000000000001
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,10.1
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,3.3
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,5.100000000000001
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,8.5
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,10.2
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,15.8
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,20.3
