id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,dep_rat_t,dep_rat_ag,dep_rat_014
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,93.80000000000001,93.10000000000001,74.8,4.600000000000001,70.2
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,92.10000000000001,93,74.60000000000001,4.4,70.3
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,75.7,92.10000000000001,72.7,1.5,71.10000000000001
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,90.60000000000001,97.5,66,5.300000000000001,60.7
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,89.7,97.60000000000001,65.7,5.100000000000001,60.6
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,78.40000000000001,98.5,61.8,2,59.8
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,90.60000000000001,97.5,66,5.300000000000001,60.7
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,89.7,97.60000000000001,65.7,5.100000000000001,60.6
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,78.40000000000001,98.5,61.8,2,59.8
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,90.60000000000001,97.5,66,5.300000000000001,60.7
