id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ovr_crw_t
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,6.2,2.5,23.2
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,5.100000000000001,2.4,22.5
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,6.2,3.8,49.1
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,6.300000000000001,3.8,49.2
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,6.100000000000001,3.5,46.1
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,5.800000000000001,2.6,24.8
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,6,2.6,24.4
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,6.9,2.6,22.9
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,5.4,2.6,26.1
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,5.2,2.6,26.8
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,4.9,2.6,27.7
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,5.2,2.4,21.8
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,5.100000000000001,2.4,22.1
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,4.800000000000001,2.5,24.3
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,6.7,4.100000000000001,53.90000000000001
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,6.600000000000001,4,52.1
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,5.600000000000001,2.9,34.1
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,6.7,4.100000000000001,53.90000000000001
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,6.600000000000001,4,52.1
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,5.600000000000001,2.9,34.1
