state,district,spatialId,finalId,year,mis_out_3b,mis_Y_3b,mis_L_3b,mis_T_3b,mis_KT_3b,mis_K_3b
HARYANA,Kurukshetra,3_6_72_0,3_6_72_0,2e3,-1.014181,-0.733735,-0.314918,-0.265086,-0.383572,-0.755529
HARYANA,Kurukshetra,3_6_72_0,3_6_72_0,2010.0,-0.380368,-0.423637,0.226836,0.232602,0.075107,-0.544604
HARYANA,Mahendragarh,3_6_84_0,3_6_84_0,2e3,-0.334009,-0.298294,-0.097266,0.048503,0.091254,0.151241
HARYANA,Mahendragarh,3_6_84_0,3_6_84_0,2010.0,0.029869,-0.054766,0.093717,0.345148,0.332085,0.232868
HARYANA,Panipat,3_6_75_0,3_6_75_0,2e3,-1.14265,-1.252962,-0.309629,-0.546976,-0.680144,-0.854274
HARYANA,Panipat,3_6_75_0,3_6_75_0,2010.0,-0.179092,-0.690783,0.135912,0.248033,-0.050348,-0.447365
HARYANA,Rewari,3_6_85_0,3_6_85_0,2e3,-0.488312,-0.639541,-0.076469,-0.294863,0.005651,0.144437
HARYANA,Rewari,3_6_85_0,3_6_85_0,2010.0,-1.078791,-1.154328,-0.242076,0.011151,-0.194675,-0.499551
HARYANA,Rohtak,3_6_82_0,3_6_82_0,2e3,-1.27669,-1.462369,-0.128688,-0.5961,-0.709444,-0.854527
HARYANA,Rohtak,3_6_82_0,3_6_82_0,2010.0,-0.629609,-0.687148,0.188538,0.043079,-0.01198,-0.059208
HARYANA,Sirsa,3_6_79_0,3_6_79_0,2e3,-0.960943,-0.993951,-0.254139,-0.315415,-0.515233,-0.801925
HARYANA,Sirsa,3_6_79_0,3_6_79_0,2010.0,-1.083473,-0.632027,-0.15964,0.183198,0.091289,-0.319853
HARYANA,Sonipat,3_6_76_0,3_6_76_0,2e3,-0.705962,-0.843794,0.460731,-0.229742,-0.097315,0.039188
