distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
804,3_8_102_0,3_8_102_0,Churu,Rajasthan,Churu,Rajasthan,Churu,Rajasthan,Churu,NA,Rajasthan,Churu,74.70882919,28.34846477,159.13745619980247,243.13715834427396,213.68570418410687,228.90023703554996,not nodal
805,3_8_103_0,3_8_103_0,Jhunjhunu,Rajasthan,Jhunjhunun,Rajasthan,Jhunjhunun,Rajasthan,Jhunjhunun,NA,Rajasthan,Jhunjhunun,75.55059394,28.09428671,75.2499520119736,173.4633529155006,126.70402078146279,170.5888449754936,not nodal
806,3_8_104_0,3_8_104_0,Alwar,Rajasthan,Alwar,Rajasthan,Alwar,Rajasthan,Alwar,NA,Rajasthan,Alwar,76.59997935,27.59347301,39.96933649702149,131.43867065777567,9.914265479127849,105.0642349455754,not nodal
807,3_8_105_0,3_8_105_0,Bharatpur,Rajasthan,Bharatpur,Rajasthan,Bharatpur,Rajasthan,Bharatpur,NA,Rajasthan,Bharatpur,77.27727491,27.24768677,39.96154982500708,72.89280604294048,67.1106951378042,63.03901480935273,not nodal
808,3_8_106_0,3_8_106_0,Dhaulpur,Rajasthan,Dhaulpur,Rajasthan,Dhaulpur,Rajasthan,Dhaulpur,NA,Rajasthan,Dhaulpur,77.7091279,26.68314306,62.63594056230648,18.84655131983941,131.78202561713195,53.20973352522598,not nodal
809,3_8_107_0,3_8_107_0,Karauli,Rajasthan,Karauli,Rajasthan,Karauli,Rajasthan,Karauli,NA,Rajasthan,Karauli,76.96012672,26.51844073,115.38361648445972,94.16211935207474,70.5039613002484,128.28677836002865,not nodal
810,3_8_108_0,3_8_108_0,Sawai Madhopur,Rajasthan,Sawai Madhopur,Rajasthan,Sawai Madhopur,Rajasthan,Sawai Madhopur,NA,Rajasthan,Sawai Madhopur,76.45615523,26.21416021,100.1646233291741,122.98415950421361,37.523767992712195,170.13893097384872,not nodal
811,3_8_109_0,3_8_109_0,Dausa,Rajasthan,Dausa,Rajasthan,Dausa,Rajasthan,Dausa,NA,Rajasthan,Dausa,76.52182951,26.86360227,62.88812355494464,137.89046468286278,15.035990358552176,149.46420471113498,not nodal
812,3_8_110_0,3_8_110_0,Jaipur,Rajasthan,Jaipur,Rajasthan,Jaipur,Rajasthan,Jaipur,NA,Rajasthan,Jaipur,75.72168543,26.97887126,10.002955961892285,199.0428537080931,63.296368741508054,213.86263040650638,not nodal
813,3_8_111_0,3_8_111_0,Sikar,Rajasthan,Sikar,Rajasthan,Sikar,Rajasthan,Sikar,NA,Rajasthan,Sikar,75.28599941,27.63393085,71.20463025046877,221.60667672997909,131.09906363742593,217.52554680038796,not nodal
814,3_8_112_0,3_8_112_0,Nagaur,Rajasthan,Nagaur,Rajasthan,Nagaur,Rajasthan,Nagaur,NA,Rajasthan,Nagaur,74.17789759,27.06490917,80.02753590828456,228.41110741148643,208.39654892410724,344.0342494402822,not nodal
815,3_8_113_0,3_8_113_0,Jodhpur,Rajasthan,Jodhpur,Rajasthan,Jodhpur,Rajasthan,Jodhpur,NA,Rajasthan,Jodhpur,72.78869275,26.74964221,163.02457557094212,220.71301980743672,323.34921263974735,376.73368655343455,not nodal
818,3_8_116_0,3_8_116_0,Jalor,Rajasthan,Jalor,Rajasthan,Jalor,Rajasthan,Jalor,NA,Rajasthan,Jalor,72.21744764,25.10176357,158.2923313816363,86.49797466374967,309.92027324285675,235.56796402189693,not nodal
820,3_8_118_0,3_8_118_0,Pali,Rajasthan,Pali,Rajasthan,Pali,Rajasthan,Pali,NA,Rajasthan,Pali,73.5218748,25.70812128,39.30208805554345,105.27223888637985,212.75115282906427,240.4175352968846,not nodal
821,3_8_119_0,3_8_119_0,Ajmer,Rajasthan,Ajmer,Rajasthan,Ajmer,Rajasthan,Ajmer,NA,Rajasthan,Ajmer,74.77439987,26.23423736,24.205495220435605,125.47388878881543,118.60588721922917,240.95890066507087,not nodal
824,3_8_122_0,3_8_122_0,Bhilwara,Rajasthan,Bhilwara,Rajasthan,Bhilwara,Rajasthan,Bhilwara,NA,Rajasthan,Bhilwara,74.72716569,25.48183616,70.60988492347461,43.88929581060541,91.09720051793593,166.76611503720585,not nodal
