NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode"
MAN,Hills,Senapati,15,2,1
MAN,Hills,Tamenglong,15,2,2
MAN,Hills,Churachandpur,15,2,3
MAN,Hills,Chandel,15,2,4
MAN,Hills,Ukhrul,15,2,8
MAN,Plains,Thoubal,15,1,5
MAN,Plains,Bishnupur,15,1,6
MAN,Plains,Imphal,15,1,7
MEG,MEG,Jaintia Hills,16,1,1
MEG,MEG,East Khasi Hills,16,1,2
MEG,MEG,West Khasi Hills,16,1,3
MEG,MEG,East Garo Hills,16,1,4
MEG,MEG,West Garo Hills,16,1,5
MEG,MEG,Ri-bhoi,16,1,6
MEG,MEG,Bhagmara,16,1,7
MIZ,MIZ,Aizwal,17,1,1
MIZ,MIZ,Chhimtuipui,17,1,3
MPR,Central,Sagar,13,3,10
MPR,Central,Damoh,13,3,11
MPR,Central,Vidisha,13,3,27
MPR,Central,Bhopal,13,3,28
MPR,Central,Sehore,13,3,29
MPR,Central,Raisen,13,3,30
MPR,Chattisgarh,Surguja,13,1,39
MPR,Chattisgarh,Bilaspur,13,1,40
MPR,Chattisgarh,Raigarh,13,1,41
MPR,Chattisgarh,Raj Nandgaon,13,1,42
MPR,Chattisgarh,Durg,13,1,43
MPR,Chattisgarh,Raipur,13,1,44
MPR,Chattisgarh,Bastar,13,1,45
MPR,Malwa,Mandsaur,13,4,16
MPR,Malwa,Ratlam,13,4,17
MPR,Malwa,Ujjain,13,4,18
MPR,Malwa,Shajapur,13,4,19
MPR,Malwa,Dewas,13,4,20
MPR,Malwa,Jhabua,13,4,21
MPR,Malwa,Dhar,13,4,22
MPR,Malwa,Indore,13,4,23
MPR,Malwa,Rajgarh,13,4,26
MPR,Northern,Morena,13,7,1
MPR,Northern,Bhind,13,7,2
MPR,Northern,Gwalior,13,7,3
MPR,Northern,Datia,13,7,4
MPR,Northern,Shivpuri,13,7,5
MPR,Northern,Guna,13,7,6
MPR,South,Jabalpur,13,5,33
MPR,South,Narsimhapur,13,5,34
MIZ,MIZ,Chhimtuipui,17,1,3
MPR,Central,Sagar,13,3,10
MPR,Central,Damoh,13,3,11
MPR,Central,Vidisha,13,3,27
MPR,Central,Bhopal,13,3,28
MPR,Central,Sehore,13,3,29
MPR,Central,Raisen,13,3,30
MPR,Chattisgarh,Surguja,13,1,39
MPR,Chattisgarh,Bilaspur,13,1,40
MPR,Chattisgarh,Raigarh,13,1,41
MPR,Chattisgarh,Raj Nandgaon,13,1,42
MPR,Chattisgarh,Durg,13,1,43
MPR,Chattisgarh,Raipur,13,1,44
MPR,Chattisgarh,Bastar,13,1,45
MPR,Malwa,Mandsaur,13,4,16
MPR,Malwa,Ratlam,13,4,17
MPR,Malwa,Ujjain,13,4,18
MPR,Malwa,Shajapur,13,4,19
MPR,Malwa,Dewas,13,4,20
