distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note
1031,3_10_233_0,3_10_233_0,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),NA
1032,3_10_234_0,3_10_234_0,Rohtas,Bihar,Rohtas,Bihar,Rohtas,Bihar,Rohtas,NA
1035,3_10_236_0,3_10_236_0,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,NA
1104,3_11_244_0,3_11_244_0,East Sikkim,Sikkim,East District,Sikkim,East (Gangtok),Sikkim,East (Gangtok),NA
1204,3_12_248_0,3_12_248_0,Papujm Prae,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,NA,NA,NA
1303,3_13_262_0,3_13_262_0,Mokochung,Nagaland,Mokokchung,Nagaland,Mokokchung,Nagaland,Mokokchung,NA
1305,3_13_264_0,3_13_264_0,Wokkha,Nagaland,Wokha,Nagaland,Wokha,Nagaland,Wokha,NA
1306,3_13_265_0,3_13_265_0,Dimapur,Nagaland,Dimapur,Nagaland,Dimapur,Nagaland,Dimapur,NA
1307,3_13_270_0,3_13_270_0,Kohima,Nagaland,Kohima,Nagaland,Kohima,Nagaland,Kohima,Peren district split from Kohima
1405,3_14_273_0,3_14_273_0,Tamenglong,Manipur,Tamenglong,Manipur,Tamenglong,Manipur,Tamenglong,NA
1406,3_14_277_0,3_14_277_0,Imphal West,Manipur,Imphal West,Manipur,Imphal West,Manipur,Imphal West,NA
1407,3_14_278_0,3_14_278_0,Imphal East,Manipur,Imphal East,Manipur,Imphal East,Manipur,Imphal East,NA
1503,3_15_283_0,3_15_283_0,Aizawl,Mizoram,Aizawl,Mizoram,Aizwal,NA,NA,NA
1601,3_16_289_0,3_16_289_0,West Tripura,Tripura,West Tripura,Tripura,West Tripura,Tripura,West Tripura,NA
1602,3_16_290_0,3_16_290_0,South Tripura,Tripura,South Tripura,Tripura,South Tripura,Tripura,South Tripura,NA
1705,3_17_297_0,3_17_297_0,RBHOI,Meghalaya,Ribhoi,Meghalaya,Ri Bhoi,Meghalaya,Ri Bhoi,NA
1706,3_17_298_0,3_17_298_0,East Khasi Hills,Meghalaya,East Khasi Hills,Meghalaya,East Khasi Hills,Meghalaya,East Khasi Hills,NA
1707,3_17_299_0,3_17_299_0,Jaintia Hills,Meghalaya,Jaintia Hills,Meghalaya,Jaintia Hills,Meghalaya,Jaintia Hills,NA
1802,3_18_301_0,3_18_301_0,Dhubri,Assam,Dhubri,Assam,Dhubri,Assam,Dhubri,NA
1803,3_18_302_0,3_18_302_0,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,NA
1806,3_18_321_0,3_18_303_0,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup rural,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
1809,3_18_304_0,3_18_304_0,Marigaon,Assam,Morigaon,Assam,Marigaon,Assam,Marigaon,NA
1814,3_18_309_0,3_18_309_0,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,NA
1817,3_18_312_0,3_18_312_0,Jorhat,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,NA
1819,3_18_314_0,3_18_314_0,Karbi Amglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,NA
1821,3_18_316_0,3_18_316_0,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,NA
1901,3_19_327_0,3_19_327_0,Darjiling,West Bengal,Darjiling,West Bengal,Darjiling,West Bengal,Darjiling,NA
1902,3_19_328_0,3_19_328_0,Jalapiguri,West Bengal,Jalpaiguri,West Bengal,Jalpaiguri,West Bengal,Jalpaiguri,NA
1904,3_19_330_0,3_19_330_0,Uttar Dinajpur,West Bengal,Uttar Dinajpur,West Bengal,Uttar Dinajpur,West Bengal,Uttar Dinajpur,NA
1906,3_19_332_0,3_19_332_0,Maldah,West Bengal,Maldah,West Bengal,Maldah,West Bengal,Maldah,NA
1907,3_19_333_0,3_19_333_0,Murshidabad,West Bengal,Murshidabad,West Bengal,Murshidabad,West Bengal,Murshidabad,NA
1908,3_19_334_0,3_19_334_0,Birbhum,West Bengal,Birbhum,West Bengal,Birbhum,West Bengal,Birbhum,NA
1909,3_19_335_0,3_19_335_0,Barddhaman,West Bengal,Barddhaman,West Bengal,Barddhaman,West Bengal,Barddhaman,NA
1910,3_19_336_0,3_19_336_0,Nadia,West Bengal,Nadia,West Bengal,Nadia,West Bengal,Nadia,NA
1911,3_19_337_0,3_19_337_0,North 24 Parganas,West Bengal,North Twenty Four Parganas,West Bengal,North 24-Parganas,West Bengal,North 24-Parganas,NA
1912,3_19_338_0,3_19_338_0,Hugli,West Bengal,Hugli,West Bengal,Hugli,West Bengal,Hugli,NA
1913,3_19_339_0,3_19_339_0,Bankura,West Bengal,Bankura,West Bengal,Bankura,West Bengal,Bankura,NA
1916,3_19_341_0,3_19_341_0,Haora,West Bengal,Haora,West Bengal,Haora,West Bengal,Howrah,NA
1917,3_19_342_0,3_19_342_0,Kolkata,West Bengal,Kolkata,West Bengal,Culcutta,West Bengal,Kolkata,NA
1918,3_19_343_0,3_19_343_0,South 24 Parganas,West Bengal,South Twenty Four Parganas,West Bengal,South 24-Parganas,West Bengal,South 24-Parganas,NA
2002,3_20_358_0,3_20_359_0,Palamu,Jharkhand,Palamu,Jharkhand,Palamu,Jharkhand,Palamu,Latehar district split from Palamu
2012,3_20_354_0,3_20_354_0,Dhanbad,Jharkhand,Dhanbad,Jharkhand,Dhanbad,Jharkhand,Dhanbad,NA
2013,3_20_355_0,3_20_355_0,Bokaro,Jharkhand,Bokaro,Jharkhand,Bokaro,Jharkhand,Bokaro,NA
2014,3_20_364_0,3_20_364_0,Ranchi,Jharkhand,Ranchi,Jharkhand,Ranchi,Jharkhand,Ranchi,Khunti district split from Ranchi;
2017,3_20_368_0,3_20_368_0,Pashchimi Singbhum,Jharkhand,Pashchimi Singhbhum,Jharkhand,Pashchimi singhbhum,Jharkhand,Singhbhum(W),Seraikela district split from Pashchim Singhbhum
2018,3_20_357_0,3_20_357_0,Purbi Singhbhum,Jharkhand,Purbi Singhbhum,Jharkhand,Purbi Singhbhum,Jharkhand,Singhbhum (E),NA
2101,3_21_370_0,3_21_370_0,Bargarh,Odisha,Bargarh,Orissa,Bargarh,Orissa,Bargarh,NA
2102,3_21_371_0,3_21_371_0,Jharsuguda,Odisha,Jharsuguda,Orissa,Jharsuguda,Orissa,Jharsuguda,NA
2103,3_21_372_0,3_21_372_0,Sambalpur,Odisha,Sambalpur,Orissa,Sambalpur,Orissa,Sambalpur,NA
2105,3_21_374_0,3_21_374_0,Sundargarh,Odisha,Sundargarh,Orissa,Sundargarh,Orissa,Sundargarh,NA
2106,3_21_375_0,3_21_375_0,Kendujhar,Odisha,Kendujhar,Orissa,Kendujhar,Orissa,Kendujhar,NA
2107,3_21_376_0,3_21_376_0,Mayurbhanj,Odisha,Mayurbhanj,Orissa,Mayurbhanj,Orissa,Mayurbhanj,NA
2108,3_21_377_0,3_21_377_0,Baleshwar,Odisha,Baleshwar,Orissa,Baleshwar,Orissa,Baleshwar,NA
2109,3_21_378_0,3_21_378_0,Bhadrak,Odisha,Bhadrak,Orissa,Bhadrak,Orissa,Bhadrak,NA
2112,3_21_381_0,3_21_381_0,Cuttack,Odisha,Cuttack,Orissa,Cuttack,Orissa,Cuttack,NA
2113,3_21_382_0,3_21_382_0,Jajapur,Odisha,Jajapur,Orissa,Jajapur,Orissa,Jajapur,NA
2114,3_21_383_0,3_21_383_0,Dhenkanal,Odisha,Dhenkanal,Orissa,Dhenkanal,Orissa,Dhenkanal,NA
2115,3_21_384_0,3_21_384_0,Anugul,Odisha,Anugul,Orissa,Anugul,Orissa,Anugul,NA
2116,3_21_385_0,3_21_385_0,Nayagarh,Odisha,Nayagarh,Orissa,Nauagarh,Orissa,Nayagarh,NA
2117,3_21_386_0,3_21_386_0,Khordha,Odisha,Khordha,Orissa,Khordha,Orissa,Khordha,NA
